date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",3.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",1.0
"Mar 11, 2020",2.0
"Mar 12, 2020",0.0
"Mar 13, 2020",0.0
"Mar 14, 2020",4.0
"Mar 15, 2020",5.0
"Mar 16, 2020",5.0
"Mar 17, 2020",1.0
"Mar 18, 2020",0.0
"Mar 19, 2020",0.0
"Mar 20, 2020",2.0
"Mar 21, 2020",0.0
"Mar 22, 2020",16.0
"Mar 23, 2020",0.0
"Mar 24, 2020",34.0
"Mar 25, 2020",10.0
"Mar 26, 2020",10.0
"Mar 27, 2020",16.0
"Mar 28, 2020",0.0
"Mar 29, 2020",10.0
"Mar 30, 2020",50.0
"Mar 31, 2020",4.0
"Apr 01, 2020",63.0
"Apr 02, 2020",36.0
"Apr 03, 2020",8.0
"Apr 04, 2020",28.0
"Apr 05, 2020",40.0
"Apr 06, 2020",18.0
"Apr 07, 2020",56.0
"Apr 08, 2020",21.0
"Apr 09, 2020",40.0
"Apr 10, 2020",37.0
"Apr 11, 2020",34.0
"Apr 12, 2020",52.0
"Apr 13, 2020",58.0
"Apr 14, 2020",49.0
"Apr 15, 2020",70.0
"Apr 16, 2020",56.0
"Apr 17, 2020",66.0
"Apr 18, 2020",27.0
"Apr 19, 2020",63.0
"Apr 20, 2020",30.0
"Apr 21, 2020",66.0
"Apr 22, 2020",84.0
"Apr 23, 2020",103.0
"Apr 24, 2020",72.0
"Apr 25, 2020",112.0
"Apr 26, 2020",68.0
"Apr 27, 2020",172.0
"Apr 28, 2020",125.0
"Apr 29, 2020",111.0
"Apr 30, 2020",232.0
"May 01, 2020",164.0
"May 02, 2020",134.0
"May 03, 2020",235.0
"May 04, 2020",190.0
"May 05, 2020",330.0
"May 06, 2020",168.0
"May 07, 2020",171.0
"May 08, 2020",215.0
"May 09, 2020",255.0
"May 10, 2020",369.0
"May 11, 2020",285.0
"May 12, 2020",276.0
"May 13, 2020",263.0
"May 14, 2020",413.0
"May 15, 2020",414.0
"May 16, 2020",349.0
"May 17, 2020",262.0
"May 18, 2020",408.0
"May 19, 2020",581.0
"May 20, 2020",492.0
"May 21, 2020",531.0
"May 22, 2020",540.0
"May 23, 2020",782.0
"May 24, 2020",584.0
"May 25, 2020",591.0
"May 26, 2020",658.0
"May 27, 2020",625.0
"May 28, 2020",580.0
"May 29, 2020",623.0
"May 30, 2020",866.0
"May 31, 2020",680.0
"Jun 01, 2020",545.0
"Jun 02, 2020",759.0
"Jun 03, 2020",758.0
"Jun 04, 2020",787.0
"Jun 05, 2020",915.0
"Jun 06, 2020",582.0
"Jun 07, 2020",791.0
"Jun 08, 2020",575.0
"Jun 09, 2020",542.0
"Jun 10, 2020",683.0
"Jun 11, 2020",748.0
"Jun 12, 2020",656.0
"Jun 13, 2020",556.0
"Jun 14, 2020",664.0
"Jun 15, 2020",761.0
"Jun 16, 2020",783.0
"Jun 17, 2020",564.0
"Jun 18, 2020",658.0
"Jun 19, 2020",346.0
"Jun 20, 2020",546.0
"Jun 21, 2020",409.0
"Jun 22, 2020",324.0
"Jun 23, 2020",324.0
"Jun 24, 2020",159.0
"Jun 25, 2020",535.0
"Jun 26, 2020",276.0
"Jun 27, 2020",165.0
"Jun 28, 2020",351.0
"Jun 29, 2020",271.0
"Jun 30, 2020",279.0
"Jul 01, 2020",319.0
"Jul 02, 2020",186.0
"Jul 03, 2020",302.0
"Jul 04, 2020",348.0
"Jul 05, 2020",279.0
"Jul 06, 2020",239.0
"Jul 07, 2020",194.0
"Jul 08, 2020",210.0
"Jul 09, 2020",314.0
"Jul 10, 2020",286.0
"Jul 11, 2020",172.0
"Jul 12, 2020",85.0
"Jul 13, 2020",4.0
"Jul 14, 2020",285.0
"Jul 15, 2020",254.0
"Jul 16, 2020",76.0
"Jul 17, 2020",159.0
"Jul 18, 2020",72.0
"Jul 19, 2020",174.0
"Jul 20, 2020",51.0
"Jul 21, 2020",89.0
"Jul 22, 2020",112.0
"Jul 23, 2020",201.0
