date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",1.0
"Feb 26, 2020",1.0
"Feb 27, 2020",1.0
"Feb 28, 2020",1.0
"Feb 29, 2020",1.0
"Mar 01, 2020",3.0
"Mar 02, 2020",5.0
"Mar 03, 2020",8.0
"Mar 04, 2020",17.0
"Mar 05, 2020",17.0
"Mar 06, 2020",17.0
"Mar 07, 2020",19.0
"Mar 08, 2020",20.0
"Mar 09, 2020",20.0
"Mar 10, 2020",20.0
"Mar 11, 2020",20.0
"Mar 12, 2020",26.0
"Mar 13, 2020",26.0
"Mar 14, 2020",39.0
"Mar 15, 2020",54.0
"Mar 16, 2020",60.0
"Mar 17, 2020",61.0
"Mar 18, 2020",75.0
"Mar 19, 2020",90.0
"Mar 20, 2020",94.0
"Mar 21, 2020",139.0
"Mar 22, 2020",201.0
"Mar 23, 2020",230.0
"Mar 24, 2020",264.0
"Mar 25, 2020",302.0
"Mar 26, 2020",367.0
"Mar 27, 2020",409.0
"Mar 28, 2020",454.0
"Mar 29, 2020",511.0
"Mar 30, 2020",584.0
"Mar 31, 2020",716.0
"Apr 01, 2020",847.0
"Apr 02, 2020",986.0
"Apr 03, 2020",1171.0
"Apr 04, 2020",1251.0
"Apr 05, 2020",1320.0
"Apr 06, 2020",1423.0
"Apr 07, 2020",1468.0
"Apr 08, 2020",1572.0
"Apr 09, 2020",1666.0
"Apr 10, 2020",1761.0
"Apr 11, 2020",1825.0
"Apr 12, 2020",1914.0
"Apr 13, 2020",1983.0
"Apr 14, 2020",2070.0
"Apr 15, 2020",2160.0
"Apr 16, 2020",2268.0
"Apr 17, 2020",2418.0
"Apr 18, 2020",2534.0
"Apr 19, 2020",2629.0
"Apr 20, 2020",2718.0
"Apr 21, 2020",2811.0
"Apr 22, 2020",2910.0
"Apr 23, 2020",3007.0
"Apr 24, 2020",3127.0
"Apr 25, 2020",3256.0
"Apr 26, 2020",3382.0
"Apr 27, 2020",3517.0
"Apr 28, 2020",3649.0
"Apr 29, 2020",3848.0
"Apr 30, 2020",4006.0
"May 01, 2020",4154.0
"May 02, 2020",4295.0
"May 03, 2020",4474.0
"May 04, 2020",4648.0
"May 05, 2020",4838.0
"May 06, 2020",4997.0
"May 07, 2020",5182.0
"May 08, 2020",5369.0
"May 09, 2020",5558.0
"May 10, 2020",5723.0
"May 11, 2020",5891.0
"May 12, 2020",6067.0
"May 13, 2020",6253.0
"May 14, 2020",6442.0
"May 15, 2020",6629.0
"May 16, 2020",6821.0
"May 17, 2020",7019.0
"May 18, 2020",7201.0
"May 19, 2020",7377.0
"May 20, 2020",7542.0
"May 21, 2020",7728.0
"May 22, 2020",7918.0
"May 23, 2020",8113.0
"May 24, 2020",8306.0
"May 25, 2020",8503.0
"May 26, 2020",8697.0
"May 27, 2020",8857.0
"May 28, 2020",8997.0
"May 29, 2020",9134.0
"May 30, 2020",9267.0
"May 31, 2020",9394.0
"Jun 01, 2020",9513.0
"Jun 02, 2020",9626.0
"Jun 03, 2020",9733.0
"Jun 04, 2020",9831.0
"Jun 05, 2020",9935.0
"Jun 06, 2020",10050.0
"Jun 07, 2020",10154.0
"Jun 08, 2020",10265.0
"Jun 09, 2020",10382.0
"Jun 10, 2020",10484.0
"Jun 11, 2020",10589.0
"Jun 12, 2020",10698.0
"Jun 13, 2020",10810.0
"Jun 14, 2020",10919.0
"Jun 15, 2020",11031.0
"Jun 16, 2020",11147.0
"Jun 17, 2020",11268.0
"Jun 18, 2020",11385.0
"Jun 19, 2020",11504.0
"Jun 20, 2020",11631.0
"Jun 21, 2020",11771.0
"Jun 22, 2020",11920.0
"Jun 23, 2020",12076.0
"Jun 24, 2020",12248.0
"Jun 25, 2020",12445.0
"Jun 26, 2020",12685.0
"Jun 27, 2020",12968.0
"Jun 28, 2020",13273.0
"Jun 29, 2020",13571.0
"Jun 30, 2020",13907.0
"Jul 01, 2020",14272.0
"Jul 02, 2020",14657.0
"Jul 03, 2020",15070.0
"Jul 04, 2020",15500.0
"Jul 05, 2020",15941.0
"Jul 06, 2020",16404.0
"Jul 07, 2020",16879.0
"Jul 08, 2020",17348.0
"Jul 09, 2020",17808.0
"Jul 10, 2020",18242.0
"Jul 11, 2020",18712.0
"Jul 12, 2020",19195.0
"Jul 13, 2020",19689.0
"Jul 14, 2020",20216.0
"Jul 15, 2020",20770.0
"Jul 16, 2020",21355.0
