date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",1.0
"Feb 26, 2020",1.0
"Feb 27, 2020",1.0
"Feb 28, 2020",3.0
"Feb 29, 2020",7.0
"Mar 01, 2020",8.0
"Mar 02, 2020",12.0
"Mar 03, 2020",17.0
"Mar 04, 2020",23.0
"Mar 05, 2020",35.0
"Mar 06, 2020",44.0
"Mar 07, 2020",73.0
"Mar 08, 2020",96.0
"Mar 09, 2020",124.0
"Mar 10, 2020",146.0
"Mar 11, 2020",200.0
"Mar 12, 2020",306.0
"Mar 13, 2020",399.0
"Mar 14, 2020",580.0
"Mar 15, 2020",759.0
"Mar 16, 2020",924.0
"Mar 17, 2020",945.0
"Mar 18, 2020",982.0
"Mar 19, 2020",1006.0
"Mar 20, 2020",1034.0
"Mar 21, 2020",1079.0
"Mar 22, 2020",1149.0
"Mar 23, 2020",1210.0
"Mar 24, 2020",1704.0
"Mar 25, 2020",2274.0
"Mar 26, 2020",2869.0
"Mar 27, 2020",3776.0
"Mar 28, 2020",4390.0
"Mar 29, 2020",4876.0
"Mar 30, 2020",5291.0
"Mar 31, 2020",5776.0
"Apr 01, 2020",6155.0
"Apr 02, 2020",6560.0
"Apr 03, 2020",6799.0
"Apr 04, 2020",6950.0
"Apr 05, 2020",6882.0
"Apr 06, 2020",6840.0
"Apr 07, 2020",6649.0
"Apr 08, 2020",6547.0
"Apr 09, 2020",6316.0
"Apr 10, 2020",6073.0
"Apr 11, 2020",5876.0
"Apr 12, 2020",5698.0
"Apr 13, 2020",5509.0
"Apr 14, 2020",5290.0
"Apr 15, 2020",4937.0
"Apr 16, 2020",4600.0
"Apr 17, 2020",4284.0
"Apr 18, 2020",3994.0
"Apr 19, 2020",3799.0
"Apr 20, 2020",3680.0
"Apr 21, 2020",3372.0
"Apr 22, 2020",3022.0
"Apr 23, 2020",2845.0
"Apr 24, 2020",2667.0
"Apr 25, 2020",2510.0
"Apr 26, 2020",2430.0
"Apr 27, 2020",2357.0
"Apr 28, 2020",2235.0
"Apr 29, 2020",2120.0
"Apr 30, 2020",2017.0
"May 01, 2020",1880.0
"May 02, 2020",1809.0
"May 03, 2020",1756.0
"May 04, 2020",1704.0
"May 05, 2020",1592.0
"May 06, 2020",1529.0
"May 07, 2020",1463.0
"May 08, 2020",1392.0
"May 09, 2020",1286.0
"May 10, 2020",1243.0
"May 11, 2020",1203.0
"May 12, 2020",1180.0
"May 13, 2020",1135.0
"May 14, 2020",1113.0
"May 15, 2020",1095.0
"May 16, 2020",1107.0
"May 17, 2020",1071.0
"May 18, 2020",1071.0
"May 19, 2020",1078.0
"May 20, 2020",1072.0
"May 21, 2020",1051.0
"May 22, 2020",1028.0
"May 23, 2020",1004.0
"May 24, 2020",981.0
"May 25, 2020",975.0
"May 26, 2020",944.0
"May 27, 2020",879.0
"May 28, 2020",856.0
"May 29, 2020",798.0
"May 30, 2020",782.0
"May 31, 2020",783.0
"Jun 01, 2020",752.0
"Jun 02, 2020",738.0
"Jun 03, 2020",684.0
"Jun 04, 2020",698.0
"Jun 05, 2020",665.0
"Jun 06, 2020",702.0
"Jun 07, 2020",709.0
"Jun 08, 2020",706.0
"Jun 09, 2020",675.0
"Jun 10, 2020",659.0
"Jun 11, 2020",656.0
"Jun 12, 2020",648.0
"Jun 13, 2020",656.0
"Jun 14, 2020",652.0
"Jun 15, 2020",648.0
"Jun 16, 2020",664.0
"Jun 17, 2020",657.0
"Jun 18, 2020",650.0
"Jun 19, 2020",651.0
"Jun 20, 2020",667.0
"Jun 21, 2020",662.0
"Jun 22, 2020",676.0
"Jun 23, 2020",666.0
"Jun 24, 2020",673.0
"Jun 25, 2020",682.0
"Jun 26, 2020",691.0
"Jun 27, 2020",742.0
"Jun 28, 2020",754.0
"Jun 29, 2020",792.0
"Jun 30, 2020",806.0
"Jul 01, 2020",877.0
"Jul 02, 2020",940.0
"Jul 03, 2020",974.0
"Jul 04, 2020",1061.0
"Jul 05, 2020",1142.0
"Jul 06, 2020",1190.0
"Jul 07, 2020",1219.0
"Jul 08, 2020",1264.0
"Jul 09, 2020",1336.0
"Jul 10, 2020",1356.0
"Jul 11, 2020",1402.0
"Jul 12, 2020",1435.0
"Jul 13, 2020",1440.0
"Jul 14, 2020",1454.0
"Jul 15, 2020",1464.0
"Jul 16, 2020",1512.0
"Jul 17, 2020",1541.0
