date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",1.0
"Mar 05, 2020",1.0
"Mar 06, 2020",1.0
"Mar 07, 2020",0.0
"Mar 08, 2020",1.0
"Mar 09, 2020",1.0
"Mar 10, 2020",0.0
"Mar 11, 2020",1.0
"Mar 12, 2020",2.0
"Mar 13, 2020",3.0
"Mar 14, 2020",3.0
"Mar 15, 2020",3.0
"Mar 16, 2020",4.0
"Mar 17, 2020",4.0
"Mar 18, 2020",6.0
"Mar 19, 2020",4.0
"Mar 20, 2020",6.0
"Mar 21, 2020",7.0
"Mar 22, 2020",7.0
"Mar 23, 2020",7.0
"Mar 24, 2020",6.0
"Mar 25, 2020",5.0
"Mar 26, 2020",5.0
"Mar 27, 2020",4.0
"Mar 28, 2020",2.0
"Mar 29, 2020",3.0
"Mar 30, 2020",10.0
"Mar 31, 2020",10.0
"Apr 01, 2020",11.0
"Apr 02, 2020",31.0
"Apr 03, 2020",37.0
"Apr 04, 2020",50.0
"Apr 05, 2020",66.0
"Apr 06, 2020",79.0
"Apr 07, 2020",101.0
"Apr 08, 2020",129.0
"Apr 09, 2020",169.0
"Apr 10, 2020",233.0
"Apr 11, 2020",255.0
"Apr 12, 2020",288.0
"Apr 13, 2020",317.0
"Apr 14, 2020",346.0
"Apr 15, 2020",380.0
"Apr 16, 2020",388.0
"Apr 17, 2020",400.0
"Apr 18, 2020",365.0
"Apr 19, 2020",314.0
"Apr 20, 2020",478.0
"Apr 21, 2020",492.0
"Apr 22, 2020",507.0
"Apr 23, 2020",546.0
"Apr 24, 2020",570.0
"Apr 25, 2020",687.0
"Apr 26, 2020",812.0
"Apr 27, 2020",718.0
"Apr 28, 2020",784.0
"Apr 29, 2020",843.0
"Apr 30, 2020",858.0
"May 01, 2020",877.0
"May 02, 2020",891.0
"May 03, 2020",892.0
"May 04, 2020",886.0
"May 05, 2020",877.0
"May 06, 2020",868.0
"May 07, 2020",877.0
"May 08, 2020",884.0
"May 09, 2020",889.0
"May 10, 2020",895.0
"May 11, 2020",917.0
"May 12, 2020",932.0
"May 13, 2020",938.0
"May 14, 2020",944.0
"May 15, 2020",947.0
"May 16, 2020",947.0
"May 17, 2020",954.0
"May 18, 2020",952.0
"May 19, 2020",948.0
"May 20, 2020",943.0
"May 21, 2020",943.0
"May 22, 2020",939.0
"May 23, 2020",937.0
"May 24, 2020",936.0
"May 25, 2020",938.0
"May 26, 2020",936.0
"May 27, 2020",933.0
"May 28, 2020",927.0
"May 29, 2020",923.0
"May 30, 2020",916.0
"May 31, 2020",908.0
"Jun 01, 2020",895.0
"Jun 02, 2020",885.0
"Jun 03, 2020",880.0
"Jun 04, 2020",874.0
"Jun 05, 2020",872.0
"Jun 06, 2020",871.0
"Jun 07, 2020",868.0
"Jun 08, 2020",864.0
"Jun 09, 2020",858.0
"Jun 10, 2020",850.0
"Jun 11, 2020",834.0
"Jun 12, 2020",807.0
"Jun 13, 2020",785.0
"Jun 14, 2020",763.0
"Jun 15, 2020",747.0
"Jun 16, 2020",729.0
"Jun 17, 2020",709.0
"Jun 18, 2020",692.0
"Jun 19, 2020",687.0
"Jun 20, 2020",671.0
"Jun 21, 2020",648.0
"Jun 22, 2020",620.0
"Jun 23, 2020",588.0
"Jun 24, 2020",559.0
"Jun 25, 2020",532.0
"Jun 26, 2020",483.0
"Jun 27, 2020",452.0
"Jun 28, 2020",424.0
"Jun 29, 2020",395.0
"Jun 30, 2020",376.0
"Jul 01, 2020",354.0
"Jul 02, 2020",331.0
"Jul 03, 2020",326.0
"Jul 04, 2020",311.0
"Jul 05, 2020",297.0
"Jul 06, 2020",288.0
"Jul 07, 2020",269.0
"Jul 08, 2020",257.0
"Jul 09, 2020",245.0
"Jul 10, 2020",229.0
"Jul 11, 2020",214.0
"Jul 12, 2020",197.0
"Jul 13, 2020",187.0
"Jul 14, 2020",181.0
"Jul 15, 2020",174.0
"Jul 16, 2020",173.0
"Jul 17, 2020",169.0
"Jul 18, 2020",169.0
"Jul 19, 2020",166.0
"Jul 20, 2020",157.0
"Jul 21, 2020",154.0
"Jul 22, 2020",154.0
"Jul 23, 2020",153.0
