date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",2.0
"Mar 11, 2020",2.0
"Mar 12, 2020",3.0
"Mar 13, 2020",10.0
"Mar 14, 2020",10.0
"Mar 15, 2020",10.0
"Mar 16, 2020",11.0
"Mar 17, 2020",12.0
"Mar 18, 2020",12.0
"Mar 19, 2020",15.0
"Mar 20, 2020",16.0
"Mar 21, 2020",19.0
"Mar 22, 2020",24.0
"Mar 23, 2020",27.0
"Mar 24, 2020",29.0
"Mar 25, 2020",32.0
"Mar 26, 2020",61.0
"Mar 27, 2020",61.0
"Mar 28, 2020",74.0
"Mar 29, 2020",81.0
"Mar 30, 2020",97.0
"Mar 31, 2020",107.0
"Apr 01, 2020",115.0
"Apr 02, 2020",123.0
"Apr 03, 2020",132.0
"Apr 04, 2020",139.0
"Apr 05, 2020",157.0
"Apr 06, 2020",183.0
"Apr 07, 2020",194.0
"Apr 08, 2020",210.0
"Apr 09, 2020",264.0
"Apr 10, 2020",268.0
"Apr 11, 2020",275.0
"Apr 12, 2020",300.0
"Apr 13, 2020",330.0
"Apr 14, 2020",354.0
"Apr 15, 2020",397.0
"Apr 16, 2020",441.0
"Apr 17, 2020",465.0
"Apr 18, 2020",493.0
"Apr 19, 2020",520.0
"Apr 20, 2020",564.0
"Apr 21, 2020",598.0
"Apr 22, 2020",609.0
"Apr 23, 2020",672.0
"Apr 24, 2020",703.0
"Apr 25, 2020",807.0
"Apr 26, 2020",866.0
"Apr 27, 2020",950.0
"Apr 28, 2020",1014.0
"Apr 29, 2020",1053.0
"Apr 30, 2020",1110.0
"May 01, 2020",1167.0
"May 02, 2020",1229.0
"May 03, 2020",1470.0
"May 04, 2020",1594.0
"May 05, 2020",1681.0
"May 06, 2020",1802.0
"May 07, 2020",1886.0
"May 08, 2020",2081.0
"May 09, 2020",2266.0
"May 10, 2020",2437.0
"May 11, 2020",2556.0
"May 12, 2020",2831.0
"May 13, 2020",2964.0
"May 14, 2020",3148.0
"May 15, 2020",3372.0
"May 16, 2020",3577.0
"May 17, 2020",3826.0
"May 18, 2020",4088.0
"May 19, 2020",4263.0
"May 20, 2020",4481.0
"May 21, 2020",4919.0
"May 22, 2020",5187.0
"May 23, 2020",5579.0
"May 24, 2020",5915.0
"May 25, 2020",6263.0
"May 26, 2020",6660.0
"May 27, 2020",7136.0
"May 28, 2020",7768.0
"May 29, 2020",8387.0
"May 30, 2020",8731.0
"May 31, 2020",9592.0
"Jun 01, 2020",9982.0
"Jun 02, 2020",10531.0
"Jun 03, 2020",10991.0
"Jun 04, 2020",11638.0
"Jun 05, 2020",12245.0
"Jun 06, 2020",12728.0
"Jun 07, 2020",13358.0
"Jun 08, 2020",13643.0
"Jun 09, 2020",13949.0
"Jun 10, 2020",14644.0
"Jun 11, 2020",15281.0
"Jun 12, 2020",16165.0
"Jun 13, 2020",16929.0
"Jun 14, 2020",17842.0
"Jun 15, 2020",18459.0
"Jun 16, 2020",19073.0
"Jun 17, 2020",19883.0
"Jun 18, 2020",20685.0
"Jun 19, 2020",21499.0
"Jun 20, 2020",22476.0
"Jun 21, 2020",23512.0
"Jun 22, 2020",24388.0
"Jun 23, 2020",25493.0
"Jun 24, 2020",26389.0
"Jun 25, 2020",27487.0
"Jun 26, 2020",28503.0
"Jun 27, 2020",29423.0
"Jun 28, 2020",30676.0
"Jun 29, 2020",31524.0
"Jun 30, 2020",32125.0
"Jul 01, 2020",33219.0
"Jul 02, 2020",34227.0
"Jul 03, 2020",35528.0
"Jul 04, 2020",36818.0
"Jul 05, 2020",38071.0
"Jul 06, 2020",39297.0
"Jul 07, 2020",40509.0
"Jul 08, 2020",41545.0
"Jul 09, 2020",42984.0
"Jul 10, 2020",44113.0
"Jul 11, 2020",45565.0
"Jul 12, 2020",47200.0
"Jul 13, 2020",48187.0
"Jul 14, 2020",49250.0
"Jul 15, 2020",50867.0
"Jul 16, 2020",52218.0
"Jul 17, 2020",54156.0
