date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",0.0
"Mar 12, 2020",0.0
"Mar 13, 2020",0.0
"Mar 14, 2020",0.0
"Mar 15, 2020",0.0
"Mar 16, 2020",0.0
"Mar 17, 2020",1.0
"Mar 18, 2020",3.0
"Mar 19, 2020",3.0
"Mar 20, 2020",4.0
"Mar 21, 2020",7.0
"Mar 22, 2020",7.0
"Mar 23, 2020",9.0
"Mar 24, 2020",12.0
"Mar 25, 2020",13.0
"Mar 26, 2020",18.0
"Mar 27, 2020",15.0
"Mar 28, 2020",22.0
"Mar 29, 2020",22.0
"Mar 30, 2020",27.0
"Mar 31, 2020",38.0
"Apr 01, 2020",41.0
"Apr 02, 2020",82.0
"Apr 03, 2020",39.0
"Apr 04, 2020",82.0
"Apr 05, 2020",41.0
"Apr 06, 2020",78.0
"Apr 07, 2020",122.0
"Apr 08, 2020",134.0
"Apr 09, 2020",134.0
"Apr 10, 2020",114.0
"Apr 11, 2020",72.0
"Apr 12, 2020",83.0
"Apr 13, 2020",105.0
"Apr 14, 2020",204.0
"Apr 15, 2020",225.0
"Apr 16, 2020",190.0
"Apr 17, 2020",194.0
"Apr 18, 2020",220.0
"Apr 19, 2020",101.0
"Apr 20, 2020",125.0
"Apr 21, 2020",154.0
"Apr 22, 2020",165.0
"Apr 23, 2020",407.0
"Apr 24, 2020",357.0
"Apr 25, 2020",375.0
"Apr 26, 2020",226.0
"Apr 27, 2020",272.0
"Apr 28, 2020",520.0
"Apr 29, 2020",448.0
"Apr 30, 2020",390.0
"May 01, 2020",509.0
"May 02, 2020",340.0
"May 03, 2020",275.0
"May 04, 2020",318.0
"May 05, 2020",578.0
"May 06, 2020",667.0
"May 07, 2020",600.0
"May 08, 2020",804.0
"May 09, 2020",664.0
"May 10, 2020",467.0
"May 11, 2020",502.0
"May 12, 2020",779.0
"May 13, 2020",754.0
"May 14, 2020",835.0
"May 15, 2020",824.0
"May 16, 2020",816.0
"May 17, 2020",485.0
"May 18, 2020",735.0
"May 19, 2020",1130.0
"May 20, 2020",911.0
"May 21, 2020",1188.0
"May 22, 2020",966.0
"May 23, 2020",965.0
"May 24, 2020",703.0
"May 25, 2020",806.0
"May 26, 2020",1027.0
"May 27, 2020",1148.0
"May 28, 2020",1067.0
"May 29, 2020",1180.0
"May 30, 2020",890.0
"May 31, 2020",480.0
"Jun 01, 2020",732.0
"Jun 02, 2020",1232.0
"Jun 03, 2020",1269.0
"Jun 04, 2020",1492.0
"Jun 05, 2020",1008.0
"Jun 06, 2020",910.0
"Jun 07, 2020",542.0
"Jun 08, 2020",813.0
"Jun 09, 2020",1185.0
"Jun 10, 2020",1300.0
"Jun 11, 2020",1261.0
"Jun 12, 2020",843.0
"Jun 13, 2020",890.0
"Jun 14, 2020",598.0
"Jun 15, 2020",729.0
"Jun 16, 2020",1338.0
"Jun 17, 2020",1209.0
"Jun 18, 2020",1204.0
"Jun 19, 2020",1221.0
"Jun 20, 2020",968.0
"Jun 21, 2020",601.0
"Jun 22, 2020",748.0
"Jun 23, 2020",1364.0
"Jun 24, 2020",1103.0
"Jun 25, 2020",1180.0
"Jun 26, 2020",1055.0
"Jun 27, 2020",994.0
"Jun 28, 2020",555.0
"Jun 29, 2020",727.0
"Jun 30, 2020",1271.0
"Jul 01, 2020",1057.0
"Jul 02, 2020",1277.0
"Jul 03, 2020",1264.0
"Jul 04, 2020",1111.0
"Jul 05, 2020",535.0
"Jul 06, 2020",656.0
"Jul 07, 2020",1312.0
"Jul 08, 2020",1187.0
"Jul 09, 2020",1199.0
"Jul 10, 2020",1270.0
"Jul 11, 2020",968.0
"Jul 12, 2020",659.0
"Jul 13, 2020",770.0
"Jul 14, 2020",1341.0
"Jul 15, 2020",1261.0
"Jul 16, 2020",1299.0
"Jul 17, 2020",1110.0
"Jul 18, 2020",885.0
"Jul 19, 2020",716.0
"Jul 20, 2020",718.0
"Jul 21, 2020",1346.0
