date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",2.0
"Mar 08, 2020",4.0
"Mar 09, 2020",4.0
"Mar 10, 2020",6.0
"Mar 11, 2020",7.0
"Mar 12, 2020",23.0
"Mar 13, 2020",31.0
"Mar 14, 2020",41.0
"Mar 15, 2020",51.0
"Mar 16, 2020",62.0
"Mar 17, 2020",81.0
"Mar 18, 2020",92.0
"Mar 19, 2020",107.0
"Mar 20, 2020",127.0
"Mar 21, 2020",163.0
"Mar 22, 2020",187.0
"Mar 23, 2020",201.0
"Mar 24, 2020",218.0
"Mar 25, 2020",242.0
"Mar 26, 2020",264.0
"Mar 27, 2020",293.0
"Mar 28, 2020",331.0
"Mar 29, 2020",346.0
"Mar 30, 2020",359.0
"Mar 31, 2020",399.0
"Apr 01, 2020",422.0
"Apr 02, 2020",457.0
"Apr 03, 2020",485.0
"Apr 04, 2020",503.0
"Apr 05, 2020",531.0
"Apr 06, 2020",549.0
"Apr 07, 2020",577.0
"Apr 08, 2020",593.0
"Apr 09, 2020",618.0
"Apr 10, 2020",635.0
"Apr 11, 2020",661.0
"Apr 12, 2020",675.0
"Apr 13, 2020",685.0
"Apr 14, 2020",713.0
"Apr 15, 2020",747.0
"Apr 16, 2020",800.0
"Apr 17, 2020",846.0
"Apr 18, 2020",878.0
"Apr 19, 2020",894.0
"Apr 20, 2020",929.0
"Apr 21, 2020",975.0
"Apr 22, 2020",1024.0
"Apr 23, 2020",1097.0
"Apr 24, 2020",1188.0
"Apr 25, 2020",1247.0
"Apr 26, 2020",1300.0
"Apr 27, 2020",1363.0
"Apr 28, 2020",1399.0
"Apr 29, 2020",1447.0
"Apr 30, 2020",1506.0
"May 01, 2020",1555.0
"May 02, 2020",1594.0
"May 03, 2020",1618.0
"May 04, 2020",1652.0
"May 05, 2020",1704.0
"May 06, 2020",1778.0
"May 07, 2020",1829.0
"May 08, 2020",1872.0
"May 09, 2020",1921.0
"May 10, 2020",1965.0
"May 11, 2020",1990.0
"May 12, 2020",2023.0
"May 13, 2020",2069.0
"May 14, 2020",2100.0
"May 15, 2020",2138.0
"May 16, 2020",2175.0
"May 17, 2020",2211.0
"May 18, 2020",2235.0
"May 19, 2020",2259.0
"May 20, 2020",2292.0
"May 21, 2020",2331.0
"May 22, 2020",2372.0
"May 23, 2020",2408.0
"May 24, 2020",2427.0
"May 25, 2020",2433.0
"May 26, 2020",2443.0
"May 27, 2020",2460.0
"May 28, 2020",2477.0
"May 29, 2020",2485.0
"May 30, 2020",2499.0
"May 31, 2020",2513.0
"Jun 01, 2020",2519.0
"Jun 02, 2020",2538.0
"Jun 03, 2020",2560.0
"Jun 04, 2020",2586.0
"Jun 05, 2020",2627.0
"Jun 06, 2020",2668.0
"Jun 07, 2020",2727.0
"Jun 08, 2020",2810.0
"Jun 09, 2020",2889.0
"Jun 10, 2020",2993.0
"Jun 11, 2020",3086.0
"Jun 12, 2020",3191.0
"Jun 13, 2020",3266.0
"Jun 14, 2020",3290.0
"Jun 15, 2020",3341.0
"Jun 16, 2020",3453.0
"Jun 17, 2020",3542.0
"Jun 18, 2020",3674.0
"Jun 19, 2020",3755.0
"Jun 20, 2020",3872.0
"Jun 21, 2020",3905.0
"Jun 22, 2020",3984.0
"Jun 23, 2020",4114.0
"Jun 24, 2020",4242.0
"Jun 25, 2020",4408.0
"Jun 26, 2020",4513.0
"Jun 27, 2020",4625.0
"Jun 28, 2020",4691.0
"Jun 29, 2020",4831.0
"Jun 30, 2020",4989.0
"Jul 01, 2020",5154.0
"Jul 02, 2020",5315.0
"Jul 03, 2020",5497.0
"Jul 04, 2020",5677.0
"Jul 05, 2020",5740.0
"Jul 06, 2020",5914.0
"Jul 07, 2020",6102.0
"Jul 08, 2020",6342.0
"Jul 09, 2020",6672.0
"Jul 10, 2020",6964.0
"Jul 11, 2020",7175.0
"Jul 12, 2020",7252.0
"Jul 13, 2020",7411.0
"Jul 14, 2020",7645.0
"Jul 15, 2020",7877.0
"Jul 16, 2020",8144.0
"Jul 17, 2020",8442.0
