date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",1.0
"Feb 22, 2020",0.0
"Feb 23, 2020",1.0
"Feb 24, 2020",1.0
"Feb 25, 2020",0.0
"Feb 26, 2020",1.0
"Feb 27, 2020",2.0
"Feb 28, 2020",1.0
"Feb 29, 2020",5.0
"Mar 01, 2020",4.0
"Mar 02, 2020",3.0
"Mar 03, 2020",3.0
"Mar 04, 2020",4.0
"Mar 05, 2020",3.0
"Mar 06, 2020",17.0
"Mar 07, 2020",6.0
"Mar 08, 2020",6.0
"Mar 09, 2020",11.0
"Mar 10, 2020",18.0
"Mar 11, 2020",15.0
"Mar 12, 2020",32.0
"Mar 13, 2020",56.0
"Mar 14, 2020",54.0
"Mar 15, 2020",89.0
"Mar 16, 2020",100.0
"Mar 17, 2020",157.0
"Mar 18, 2020",129.0
"Mar 19, 2020",146.0
"Mar 20, 2020",214.0
"Mar 21, 2020",241.0
"Mar 22, 2020",142.0
"Mar 23, 2020",621.0
"Mar 24, 2020",701.0
"Mar 25, 2020",617.0
"Mar 26, 2020",634.0
"Mar 27, 2020",714.0
"Mar 28, 2020",898.0
"Mar 29, 2020",665.0
"Mar 30, 2020",1128.0
"Mar 31, 2020",1164.0
"Apr 01, 2020",1119.0
"Apr 02, 2020",1552.0
"Apr 03, 2020",1092.0
"Apr 04, 2020",1537.0
"Apr 05, 2020",1600.0
"Apr 06, 2020",1155.0
"Apr 07, 2020",1230.0
"Apr 08, 2020",1541.0
"Apr 09, 2020",1327.0
"Apr 10, 2020",1383.0
"Apr 11, 2020",1170.0
"Apr 12, 2020",1065.0
"Apr 13, 2020",1297.0
"Apr 14, 2020",1383.0
"Apr 15, 2020",1316.0
"Apr 16, 2020",1727.0
"Apr 17, 2020",1821.0
"Apr 18, 2020",1456.0
"Apr 19, 2020",1673.0
"Apr 20, 2020",1773.0
"Apr 21, 2020",1593.0
"Apr 22, 2020",1768.0
"Apr 23, 2020",1920.0
"Apr 24, 2020",1778.0
"Apr 25, 2020",1466.0
"Apr 26, 2020",1541.0
"Apr 27, 2020",1605.0
"Apr 28, 2020",1526.0
"Apr 29, 2020",1571.0
"Apr 30, 2020",1639.0
"May 01, 2020",1825.0
"May 02, 2020",1653.0
"May 03, 2020",2760.0
"May 04, 2020",1298.0
"May 05, 2020",1274.0
"May 06, 2020",1450.0
"May 07, 2020",1426.0
"May 08, 2020",1512.0
"May 09, 2020",1268.0
"May 10, 2020",1146.0
"May 11, 2020",1133.0
"May 12, 2020",1176.0
"May 13, 2020",1121.0
"May 14, 2020",1123.0
"May 15, 2020",1212.0
"May 16, 2020",1251.0
"May 17, 2020",1138.0
"May 18, 2020",1070.0
"May 19, 2020",1040.0
"May 20, 2020",1030.0
"May 21, 2020",1182.0
"May 22, 2020",1156.0
"May 23, 2020",1141.0
"May 24, 2020",1078.0
"May 25, 2020",1012.0
"May 26, 2020",936.0
"May 27, 2020",872.0
"May 28, 2020",993.0
"May 29, 2020",906.0
"May 30, 2020",772.0
"May 31, 2020",757.0
"Jun 01, 2020",758.0
"Jun 02, 2020",705.0
"Jun 03, 2020",675.0
"Jun 04, 2020",641.0
"Jun 05, 2020",609.0
"Jun 06, 2020",722.0
"Jun 07, 2020",642.0
"Jun 08, 2020",545.0
"Jun 09, 2020",409.0
"Jun 10, 2020",472.0
"Jun 11, 2020",405.0
"Jun 12, 2020",413.0
"Jun 13, 2020",467.0
"Jun 14, 2020",377.0
"Jun 15, 2020",360.0
"Jun 16, 2020",320.0
"Jun 17, 2020",386.0
"Jun 18, 2020",367.0
"Jun 19, 2020",409.0
"Jun 20, 2020",390.0
"Jun 21, 2020",318.0
"Jun 22, 2020",300.0
"Jun 23, 2020",326.0
"Jun 24, 2020",279.0
"Jun 25, 2020",380.0
"Jun 26, 2020",172.0
"Jun 27, 2020",238.0
"Jun 28, 2020",218.0
"Jun 29, 2020",668.0
"Jun 30, 2020",286.0
"Jul 01, 2020",67.0
"Jul 02, 2020",501.0
"Jul 03, 2020",319.0
"Jul 04, 2020",226.0
"Jul 05, 2020",219.0
"Jul 06, 2020",399.0
"Jul 07, 2020",232.0
"Jul 08, 2020",267.0
"Jul 09, 2020",371.0
"Jul 10, 2020",321.0
"Jul 11, 2020",221.0
"Jul 12, 2020",243.0
"Jul 13, 2020",565.0
"Jul 14, 2020",331.0
"Jul 15, 2020",343.0
"Jul 16, 2020",435.0
"Jul 17, 2020",405.0
"Jul 18, 2020",330.0
"Jul 19, 2020",339.0
