date,count
"Jan 22, 2020",554.0
"Jan 23, 2020",771.0
"Jan 24, 2020",1208.0
"Jan 25, 2020",1870.0
"Jan 26, 2020",2613.0
"Jan 27, 2020",4349.0
"Jan 28, 2020",5739.0
"Jan 29, 2020",7417.0
"Jan 30, 2020",9308.0
"Jan 31, 2020",11289.0
"Feb 01, 2020",13748.0
"Feb 02, 2020",16369.0
"Feb 03, 2020",19383.0
"Feb 04, 2020",22942.0
"Feb 05, 2020",26302.0
"Feb 06, 2020",28985.0
"Feb 07, 2020",31774.0
"Feb 08, 2020",33738.0
"Feb 09, 2020",35982.0
"Feb 10, 2020",37626.0
"Feb 11, 2020",38791.0
"Feb 12, 2020",51591.0
"Feb 13, 2020",55748.0
"Feb 14, 2020",56873.0
"Feb 15, 2020",57416.0
"Feb 16, 2020",57934.0
"Feb 17, 2020",58016.0
"Feb 18, 2020",57805.0
"Feb 19, 2020",56301.0
"Feb 20, 2020",54921.0
"Feb 21, 2020",53284.0
"Feb 22, 2020",52093.0
"Feb 23, 2020",49824.0
"Feb 24, 2020",47765.0
"Feb 25, 2020",45600.0
"Feb 26, 2020",43258.0
"Feb 27, 2020",39919.0
"Feb 28, 2020",37414.0
"Feb 29, 2020",35129.0
"Mar 01, 2020",32616.0
"Mar 02, 2020",30004.0
"Mar 03, 2020",27423.0
"Mar 04, 2020",25353.0
"Mar 05, 2020",23784.0
"Mar 06, 2020",22179.0
"Mar 07, 2020",20533.0
"Mar 08, 2020",19016.0
"Mar 09, 2020",17721.0
"Mar 10, 2020",16136.0
"Mar 11, 2020",14831.0
"Mar 12, 2020",13524.0
"Mar 13, 2020",12088.0
"Mar 14, 2020",10733.0
"Mar 15, 2020",9893.0
"Mar 16, 2020",8967.0
"Mar 17, 2020",8056.0
"Mar 18, 2020",7263.0
"Mar 19, 2020",6569.0
"Mar 20, 2020",6013.0
"Mar 21, 2020",5353.0
"Mar 22, 2020",5120.0
"Mar 23, 2020",4735.0
"Mar 24, 2020",4287.0
"Mar 25, 2020",3947.0
"Mar 26, 2020",3460.0
"Mar 27, 2020",3128.0
"Mar 28, 2020",2691.0
"Mar 29, 2020",2691.0
"Mar 30, 2020",2161.0
"Mar 31, 2020",2004.0
"Apr 01, 2020",1863.0
"Apr 02, 2020",1727.0
"Apr 03, 2020",1558.0
"Apr 04, 2020",1376.0
"Apr 05, 2020",1299.0
"Apr 06, 2020",1242.0
"Apr 07, 2020",1190.0
"Apr 08, 2020",1160.0
"Apr 09, 2020",1116.0
"Apr 10, 2020",1089.0
"Apr 11, 2020",1138.0
"Apr 12, 2020",1156.0
"Apr 13, 2020",1170.0
"Apr 14, 2020",1137.0
"Apr 15, 2020",1107.0
"Apr 16, 2020",1081.0
"Apr 17, 2020",66.0
"Apr 18, 2020",1058.0
"Apr 19, 2020",1041.0
"Apr 20, 2020",1031.0
"Apr 21, 2020",1003.0
"Apr 22, 2020",1005.0
"Apr 23, 2020",959.0
"Apr 24, 2020",915.0
"Apr 25, 2020",838.0
"Apr 26, 2020",801.0
"Apr 27, 2020",723.0
"Apr 28, 2020",648.0
"Apr 29, 2020",647.0
"Apr 30, 2020",619.0
"May 01, 2020",599.0
"May 02, 2020",557.0
"May 03, 2020",531.0
"May 04, 2020",481.0
"May 05, 2020",395.0
"May 06, 2020",339.0
"May 07, 2020",295.0
"May 08, 2020",260.0
"May 09, 2020",208.0
"May 10, 2020",148.0
"May 11, 2020",141.0
"May 12, 2020",115.0
"May 13, 2020",104.0
"May 14, 2020",101.0
"May 15, 2020",91.0
"May 16, 2020",89.0
"May 17, 2020",86.0
"May 18, 2020",82.0
"May 19, 2020",85.0
"May 20, 2020",87.0
"May 21, 2020",84.0
"May 22, 2020",82.0
"May 23, 2020",79.0
"May 24, 2020",79.0
"May 25, 2020",83.0
"May 26, 2020",81.0
"May 27, 2020",79.0
"May 28, 2020",73.0
"May 29, 2020",70.0
"May 30, 2020",63.0
"May 31, 2020",63.0
"Jun 01, 2020",76.0
"Jun 02, 2020",72.0
"Jun 03, 2020",73.0
"Jun 04, 2020",69.0
"Jun 05, 2020",66.0
"Jun 06, 2020",67.0
"Jun 07, 2020",70.0
"Jun 08, 2020",65.0
"Jun 09, 2020",58.0
"Jun 10, 2020",55.0
"Jun 11, 2020",62.0
"Jun 12, 2020",65.0
"Jun 13, 2020",74.0
"Jun 14, 2020",129.0
"Jun 15, 2020",177.0
"Jun 16, 2020",210.0
"Jun 17, 2020",252.0
"Jun 18, 2020",265.0
"Jun 19, 2020",293.0
"Jun 20, 2020",308.0
"Jun 21, 2020",331.0
"Jun 22, 2020",349.0
"Jun 23, 2020",359.0
"Jun 24, 2020",368.0
"Jun 25, 2020",382.0
"Jun 26, 2020",389.0
"Jun 27, 2020",405.0
"Jun 28, 2020",415.0
"Jun 29, 2020",418.0
"Jun 30, 2020",428.0
"Jul 01, 2020",421.0
"Jul 02, 2020",416.0
"Jul 03, 2020",409.0
"Jul 04, 2020",402.0
"Jul 05, 2020",403.0
"Jul 06, 2020",405.0
"Jul 07, 2020",403.0
"Jul 08, 2020",390.0
"Jul 09, 2020",357.0
"Jul 10, 2020",342.0
"Jul 11, 2020",330.0
"Jul 12, 2020",326.0
"Jul 13, 2020",320.0
"Jul 14, 2020",297.0
"Jul 15, 2020",284.0
"Jul 16, 2020",259.0
"Jul 17, 2020",251.0
"Jul 18, 2020",252.0
"Jul 19, 2020",251.0
"Jul 20, 2020",249.0
"Jul 21, 2020",242.0
"Jul 22, 2020",233.0
"Jul 23, 2020",240.0
"Jul 24, 2020",243.0
"Jul 25, 2020",261.0
"Jul 26, 2020",288.0
"Jul 27, 2020",339.0
"Jul 28, 2020",391.0
"Jul 29, 2020",482.0
"Jul 30, 2020",574.0
"Jul 31, 2020",684.0
"Aug 01, 2020",713.0
"Aug 02, 2020",748.0
"Aug 03, 2020",781.0
"Aug 04, 2020",800.0
"Aug 05, 2020",810.0
"Aug 06, 2020",837.0
"Aug 07, 2020",843.0
"Aug 08, 2020",839.0
"Aug 09, 2020",817.0
"Aug 10, 2020",802.0
"Aug 11, 2020",794.0
"Aug 12, 2020",761.0
"Aug 13, 2020",724.0
"Aug 14, 2020",690.0
"Aug 15, 2020",655.0
"Aug 16, 2020",618.0
"Aug 17, 2020",612.0
"Aug 18, 2020",595.0
"Aug 19, 2020",569.0
"Aug 20, 2020",516.0
"Aug 21, 2020",491.0
"Aug 22, 2020",454.0
"Aug 23, 2020",422.0
"Aug 24, 2020",408.0
"Aug 25, 2020",386.0
"Aug 26, 2020",347.0
"Aug 27, 2020",324.0
"Aug 28, 2020",288.0
"Aug 29, 2020",262.0
"Aug 30, 2020",244.0
"Aug 31, 2020",237.0
"Sep 01, 2020",216.0
"Sep 02, 2020",198.0
"Sep 03, 2020",192.0
"Sep 04, 2020",205.0
"Sep 05, 2020",194.0
"Sep 06, 2020",186.0
"Sep 07, 2020",180.0
"Sep 08, 2020",175.0
"Sep 09, 2020",165.0
"Sep 10, 2020",161.0
"Sep 11, 2020",157.0
"Sep 12, 2020",154.0
"Sep 13, 2020",151.0
"Sep 14, 2020",145.0
"Sep 15, 2020",142.0
"Sep 16, 2020",143.0
"Sep 17, 2020",141.0
"Sep 18, 2020",165.0
"Sep 19, 2020",171.0
"Sep 20, 2020",168.0
"Sep 21, 2020",173.0
"Sep 22, 2020",166.0
"Sep 23, 2020",168.0
"Sep 24, 2020",167.0
"Sep 25, 2020",166.0
"Sep 26, 2020",167.0
"Sep 27, 2020",176.0
"Sep 28, 2020",185.0
"Sep 29, 2020",184.0
"Sep 30, 2020",191.0
"Oct 01, 2020",186.0
"Oct 02, 2020",189.0
"Oct 03, 2020",189.0
"Oct 04, 2020",195.0
"Oct 05, 2020",208.0
"Oct 06, 2020",213.0
"Oct 07, 2020",205.0
"Oct 08, 2020",200.0
"Oct 09, 2020",206.0
"Oct 10, 2020",206.0
"Oct 11, 2020",218.0
"Oct 12, 2020",230.0
"Oct 13, 2020",228.0
"Oct 14, 2020",241.0
"Oct 15, 2020",240.0
"Oct 16, 2020",253.0
"Oct 17, 2020",259.0
"Oct 18, 2020",252.0
"Oct 19, 2020",249.0
"Oct 20, 2020",258.0
"Oct 21, 2020",247.0
"Oct 22, 2020",245.0
"Oct 23, 2020",248.0
"Oct 24, 2020",265.0
"Oct 25, 2020",265.0
"Oct 26, 2020",265.0
"Oct 27, 2020",264.0
"Oct 28, 2020",298.0
"Oct 29, 2020",338.0
"Oct 30, 2020",339.0
"Oct 31, 2020",355.0
"Nov 01, 2020",359.0
"Nov 02, 2020",363.0
"Nov 03, 2020",391.0
"Nov 04, 2020",392.0
"Nov 05, 2020",400.0
"Nov 06, 2020",419.0
"Nov 07, 2020",419.0
"Nov 08, 2020",410.0
"Nov 09, 2020",424.0
"Nov 10, 2020",426.0
