date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",1.0
"Mar 07, 2020",1.0
"Mar 08, 2020",1.0
"Mar 09, 2020",3.0
"Mar 10, 2020",3.0
"Mar 11, 2020",9.0
"Mar 12, 2020",9.0
"Mar 13, 2020",16.0
"Mar 14, 2020",24.0
"Mar 15, 2020",34.0
"Mar 16, 2020",53.0
"Mar 17, 2020",64.0
"Mar 18, 2020",92.0
"Mar 19, 2020",107.0
"Mar 20, 2020",144.0
"Mar 21, 2020",195.0
"Mar 22, 2020",226.0
"Mar 23, 2020",271.0
"Mar 24, 2020",369.0
"Mar 25, 2020",458.0
"Mar 26, 2020",477.0
"Mar 27, 2020",523.0
"Mar 28, 2020",592.0
"Mar 29, 2020",682.0
"Mar 30, 2020",769.0
"Mar 31, 2020",859.0
"Apr 01, 2020",1009.0
"Apr 02, 2020",1087.0
"Apr 03, 2020",1187.0
"Apr 04, 2020",1289.0
"Apr 05, 2020",1362.0
"Apr 06, 2020",1445.0
"Apr 07, 2020",1630.0
"Apr 08, 2020",1876.0
"Apr 09, 2020",1980.0
"Apr 10, 2020",2196.0
"Apr 11, 2020",2395.0
"Apr 12, 2020",2397.0
"Apr 13, 2020",2421.0
"Apr 14, 2020",2498.0
"Apr 15, 2020",2522.0
"Apr 16, 2020",2539.0
"Apr 17, 2020",2652.0
"Apr 18, 2020",2764.0
"Apr 19, 2020",2902.0
"Apr 20, 2020",2984.0
"Apr 21, 2020",3149.0
"Apr 22, 2020",3280.0
"Apr 23, 2020",3419.0
"Apr 24, 2020",3653.0
"Apr 25, 2020",3842.0
"Apr 26, 2020",4002.0
"Apr 27, 2020",4134.0
"Apr 28, 2020",4412.0
"Apr 29, 2020",4518.0
"Apr 30, 2020",4775.0
"May 01, 2020",5141.0
"May 02, 2020",5295.0
"May 03, 2020",5606.0
"May 04, 2020",5808.0
"May 05, 2020",6222.0
"May 06, 2020",6414.0
"May 07, 2020",6749.0
"May 08, 2020",7199.0
"May 09, 2020",7481.0
"May 10, 2020",7895.0
"May 11, 2020",8309.0
"May 12, 2020",8808.0
"May 13, 2020",9288.0
"May 14, 2020",9727.0
"May 15, 2020",10210.0
"May 16, 2020",10790.0
"May 17, 2020",11249.0
"May 18, 2020",11800.0
"May 19, 2020",12272.0
"May 20, 2020",12801.0
"May 21, 2020",13247.0
"May 22, 2020",13874.0
"May 23, 2020",14754.0
"May 24, 2020",15432.0
"May 25, 2020",15966.0
"May 26, 2020",16716.0
"May 27, 2020",17190.0
"May 28, 2020",17879.0
"May 29, 2020",18922.0
"May 30, 2020",20225.0
"May 31, 2020",19901.0
"Jun 01, 2020",19863.0
"Jun 02, 2020",19682.0
"Jun 03, 2020",20021.0
"Jun 04, 2020",21112.0
"Jun 05, 2020",21852.0
"Jun 06, 2020",22440.0
"Jun 07, 2020",22655.0
"Jun 08, 2020",22984.0
"Jun 09, 2020",24172.0
"Jun 10, 2020",24916.0
"Jun 11, 2020",25934.0
"Jun 12, 2020",26598.0
"Jun 13, 2020",27728.0
"Jun 14, 2020",29450.0
"Jun 15, 2020",31385.0
"Jun 16, 2020",32764.0
"Jun 17, 2020",33856.0
"Jun 18, 2020",35587.0
"Jun 19, 2020",37243.0
"Jun 20, 2020",38008.0
"Jun 21, 2020",39055.0
"Jun 22, 2020",39905.0
"Jun 23, 2020",40709.0
"Jun 24, 2020",42951.0
"Jun 25, 2020",44596.0
"Jun 26, 2020",46694.0
"Jun 27, 2020",49379.0
"Jun 28, 2020",50383.0
"Jun 29, 2020",51866.0
"Jun 30, 2020",52439.0
"Jul 01, 2020",55132.0
"Jul 02, 2020",57938.0
"Jul 03, 2020",60394.0
"Jul 04, 2020",62884.0
"Jul 05, 2020",65165.0
"Jul 06, 2020",65701.0
"Jul 07, 2020",68274.0
"Jul 08, 2020",70477.0
"Jul 09, 2020",72987.0
"Jul 10, 2020",77051.0
"Jul 11, 2020",79057.0
"Jul 12, 2020",81687.0
"Jul 13, 2020",83013.0
"Jul 14, 2020",85467.0
"Jul 15, 2020",87619.0
"Jul 16, 2020",91013.0
