date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",1.0
"Mar 06, 2020",1.0
"Mar 07, 2020",1.0
"Mar 08, 2020",9.0
"Mar 09, 2020",9.0
"Mar 10, 2020",13.0
"Mar 11, 2020",22.0
"Mar 12, 2020",23.0
"Mar 13, 2020",23.0
"Mar 14, 2020",27.0
"Mar 15, 2020",35.0
"Mar 16, 2020",41.0
"Mar 17, 2020",50.0
"Mar 18, 2020",68.0
"Mar 19, 2020",86.0
"Mar 20, 2020",109.0
"Mar 21, 2020",113.0
"Mar 22, 2020",130.0
"Mar 23, 2020",154.0
"Mar 24, 2020",173.0
"Mar 25, 2020",197.0
"Mar 26, 2020",227.0
"Mar 27, 2020",258.0
"Mar 28, 2020",290.0
"Mar 29, 2020",309.0
"Mar 30, 2020",324.0
"Mar 31, 2020",341.0
"Apr 01, 2020",369.0
"Apr 02, 2020",388.0
"Apr 03, 2020",403.0
"Apr 04, 2020",420.0
"Apr 05, 2020",436.0
"Apr 06, 2020",447.0
"Apr 07, 2020",457.0
"Apr 08, 2020",470.0
"Apr 09, 2020",506.0
"Apr 10, 2020",513.0
"Apr 11, 2020",525.0
"Apr 12, 2020",536.0
"Apr 13, 2020",547.0
"Apr 14, 2020",549.0
"Apr 15, 2020",555.0
"Apr 16, 2020",564.0
"Apr 17, 2020",557.0
"Apr 18, 2020",554.0
"Apr 19, 2020",543.0
"Apr 20, 2020",532.0
"Apr 21, 2020",513.0
"Apr 22, 2020",495.0
"Apr 23, 2020",484.0
"Apr 24, 2020",465.0
"Apr 25, 2020",445.0
"Apr 26, 2020",425.0
"Apr 27, 2020",404.0
"Apr 28, 2020",393.0
"Apr 29, 2020",384.0
"Apr 30, 2020",375.0
"May 01, 2020",364.0
"May 02, 2020",355.0
"May 03, 2020",347.0
"May 04, 2020",337.0
"May 05, 2020",336.0
"May 06, 2020",327.0
"May 07, 2020",314.0
"May 08, 2020",306.0
"May 09, 2020",294.0
"May 10, 2020",285.0
"May 11, 2020",277.0
"May 12, 2020",277.0
"May 13, 2020",281.0
"May 14, 2020",287.0
"May 15, 2020",292.0
"May 16, 2020",292.0
"May 17, 2020",288.0
"May 18, 2020",281.0
"May 19, 2020",295.0
"May 20, 2020",305.0
"May 21, 2020",301.0
"May 22, 2020",301.0
"May 23, 2020",301.0
"May 24, 2020",300.0
"May 25, 2020",313.0
"May 26, 2020",312.0
"May 27, 2020",335.0
"May 28, 2020",344.0
"May 29, 2020",359.0
"May 30, 2020",379.0
"May 31, 2020",377.0
"Jun 01, 2020",398.0
"Jun 02, 2020",413.0
"Jun 03, 2020",462.0
"Jun 04, 2020",497.0
"Jun 05, 2020",523.0
"Jun 06, 2020",552.0
"Jun 07, 2020",604.0
"Jun 08, 2020",620.0
"Jun 09, 2020",647.0
"Jun 10, 2020",727.0
"Jun 11, 2020",804.0
"Jun 12, 2020",869.0
"Jun 13, 2020",907.0
"Jun 14, 2020",951.0
"Jun 15, 2020",961.0
"Jun 16, 2020",990.0
"Jun 17, 2020",960.0
"Jun 18, 2020",990.0
"Jun 19, 2020",1064.0
"Jun 20, 2020",1101.0
"Jun 21, 2020",1169.0
"Jun 22, 2020",1222.0
"Jun 23, 2020",1227.0
"Jun 24, 2020",1293.0
"Jun 25, 2020",1445.0
"Jun 26, 2020",1544.0
"Jun 27, 2020",1641.0
"Jun 28, 2020",1749.0
"Jun 29, 2020",1860.0
"Jun 30, 2020",2007.0
"Jul 01, 2020",2220.0
"Jul 02, 2020",2416.0
"Jul 03, 2020",2636.0
"Jul 04, 2020",2882.0
"Jul 05, 2020",3232.0
"Jul 06, 2020",3442.0
"Jul 07, 2020",3653.0
"Jul 08, 2020",3883.0
"Jul 09, 2020",4437.0
"Jul 10, 2020",4709.0
"Jul 11, 2020",4983.0
"Jul 12, 2020",5327.0
"Jul 13, 2020",5701.0
"Jul 14, 2020",6005.0
"Jul 15, 2020",6395.0
"Jul 16, 2020",6831.0
"Jul 17, 2020",7104.0
"Jul 18, 2020",7595.0
"Jul 19, 2020",8086.0
"Jul 20, 2020",8449.0
"Jul 21, 2020",8549.0
