date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",1.0
"Mar 09, 2020",1.0
"Mar 10, 2020",1.0
"Mar 11, 2020",1.0
"Mar 12, 2020",2.0
"Mar 13, 2020",2.0
"Mar 14, 2020",2.0
"Mar 15, 2020",2.0
"Mar 16, 2020",4.0
"Mar 17, 2020",6.0
"Mar 18, 2020",6.0
"Mar 19, 2020",7.0
"Mar 20, 2020",8.0
"Mar 21, 2020",10.0
"Mar 22, 2020",14.0
"Mar 23, 2020",19.0
"Mar 24, 2020",20.0
"Mar 25, 2020",21.0
"Mar 26, 2020",24.0
"Mar 27, 2020",30.0
"Mar 28, 2020",36.0
"Mar 29, 2020",40.0
"Mar 30, 2020",41.0
"Mar 31, 2020",46.0
"Apr 01, 2020",52.0
"Apr 02, 2020",58.0
"Apr 03, 2020",66.0
"Apr 04, 2020",71.0
"Apr 05, 2020",78.0
"Apr 06, 2020",85.0
"Apr 07, 2020",94.0
"Apr 08, 2020",103.0
"Apr 09, 2020",118.0
"Apr 10, 2020",135.0
"Apr 11, 2020",146.0
"Apr 12, 2020",159.0
"Apr 13, 2020",164.0
"Apr 14, 2020",178.0
"Apr 15, 2020",183.0
"Apr 16, 2020",196.0
"Apr 17, 2020",205.0
"Apr 18, 2020",224.0
"Apr 19, 2020",239.0
"Apr 20, 2020",250.0
"Apr 21, 2020",264.0
"Apr 22, 2020",276.0
"Apr 23, 2020",287.0
"Apr 24, 2020",294.0
"Apr 25, 2020",307.0
"Apr 26, 2020",317.0
"Apr 27, 2020",337.0
"Apr 28, 2020",359.0
"Apr 29, 2020",380.0
"Apr 30, 2020",392.0
"May 01, 2020",406.0
"May 02, 2020",415.0
"May 03, 2020",429.0
"May 04, 2020",436.0
"May 05, 2020",452.0
"May 06, 2020",469.0
"May 07, 2020",482.0
"May 08, 2020",503.0
"May 09, 2020",514.0
"May 10, 2020",525.0
"May 11, 2020",533.0
"May 12, 2020",544.0
"May 13, 2020",556.0
"May 14, 2020",571.0
"May 15, 2020",592.0
"May 16, 2020",612.0
"May 17, 2020",630.0
"May 18, 2020",645.0
"May 19, 2020",659.0
"May 20, 2020",680.0
"May 21, 2020",696.0
"May 22, 2020",707.0
"May 23, 2020",735.0
"May 24, 2020",764.0
"May 25, 2020",783.0
"May 26, 2020",797.0
"May 27, 2020",816.0
"May 28, 2020",845.0
"May 29, 2020",879.0
"May 30, 2020",913.0
"May 31, 2020",959.0
"Jun 01, 2020",1005.0
"Jun 02, 2020",1052.0
"Jun 03, 2020",1088.0
"Jun 04, 2020",1126.0
"Jun 05, 2020",1166.0
"Jun 06, 2020",1198.0
"Jun 07, 2020",1237.0
"Jun 08, 2020",1271.0
"Jun 09, 2020",1306.0
"Jun 10, 2020",1342.0
"Jun 11, 2020",1377.0
"Jun 12, 2020",1422.0
"Jun 13, 2020",1484.0
"Jun 14, 2020",1575.0
"Jun 15, 2020",1672.0
"Jun 16, 2020",1766.0
"Jun 17, 2020",1850.0
"Jun 18, 2020",1938.0
"Jun 19, 2020",2017.0
"Jun 20, 2020",2106.0
"Jun 21, 2020",2193.0
"Jun 22, 2020",2278.0
"Jun 23, 2020",2365.0
"Jun 24, 2020",2450.0
"Jun 25, 2020",2533.0
"Jun 26, 2020",2620.0
"Jun 27, 2020",2708.0
"Jun 28, 2020",2789.0
"Jun 29, 2020",2872.0
"Jun 30, 2020",2953.0
"Jul 01, 2020",3034.0
"Jul 02, 2020",3120.0
"Jul 03, 2020",3201.0
"Jul 04, 2020",3280.0
"Jul 05, 2020",3343.0
"Jul 06, 2020",3422.0
"Jul 07, 2020",3489.0
"Jul 08, 2020",3564.0
"Jul 09, 2020",3617.0
"Jul 10, 2020",3702.0
"Jul 11, 2020",3769.0
"Jul 12, 2020",3858.0
"Jul 13, 2020",3935.0
"Jul 14, 2020",4008.0
"Jul 15, 2020",4067.0
"Jul 16, 2020",4120.0
"Jul 17, 2020",4188.0
"Jul 18, 2020",4251.0
"Jul 19, 2020",4302.0
"Jul 20, 2020",4352.0
