date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",1.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",2.0
"Feb 27, 2020",4.0
"Feb 28, 2020",9.0
"Feb 29, 2020",9.0
"Mar 01, 2020",16.0
"Mar 02, 2020",21.0
"Mar 03, 2020",27.0
"Mar 04, 2020",33.0
"Mar 05, 2020",71.0
"Mar 06, 2020",85.0
"Mar 07, 2020",103.0
"Mar 08, 2020",130.0
"Mar 09, 2020",152.0
"Mar 10, 2020",194.0
"Mar 11, 2020",244.0
"Mar 12, 2020",314.0
"Mar 13, 2020",429.0
"Mar 14, 2020",543.0
"Mar 15, 2020",682.0
"Mar 16, 2020",864.0
"Mar 17, 2020",1114.0
"Mar 18, 2020",1481.0
"Mar 19, 2020",1796.0
"Mar 20, 2020",2310.0
"Mar 21, 2020",2538.0
"Mar 22, 2020",2723.0
"Mar 23, 2020",3112.0
"Mar 24, 2020",3375.0
"Mar 25, 2020",3571.0
"Mar 26, 2020",4088.0
"Mar 27, 2020",4432.0
"Mar 28, 2020",5047.0
"Mar 29, 2020",5366.0
"Mar 30, 2020",5404.0
"Mar 31, 2020",5546.0
"Apr 01, 2020",5808.0
"Apr 02, 2020",5837.0
"Apr 03, 2020",5755.0
"Apr 04, 2020",5485.0
"Apr 05, 2020",5384.0
"Apr 06, 2020",5213.0
"Apr 07, 2020",5122.0
"Apr 08, 2020",5045.0
"Apr 09, 2020",4778.0
"Apr 10, 2020",4430.0
"Apr 11, 2020",4194.0
"Apr 12, 2020",3962.0
"Apr 13, 2020",3814.0
"Apr 14, 2020",3506.0
"Apr 15, 2020",3066.0
"Apr 16, 2020",2780.0
"Apr 17, 2020",2747.0
"Apr 18, 2020",2610.0
"Apr 19, 2020",2555.0
"Apr 20, 2020",2428.0
"Apr 21, 2020",2320.0
"Apr 22, 2020",2271.0
"Apr 23, 2020",2204.0
"Apr 24, 2020",1944.0
"Apr 25, 2020",1827.0
"Apr 26, 2020",1718.0
"Apr 27, 2020",1670.0
"Apr 28, 2020",1637.0
"Apr 29, 2020",1556.0
"Apr 30, 2020",1412.0
"May 01, 2020",1296.0
"May 02, 2020",1208.0
"May 03, 2020",1128.0
"May 04, 2020",1056.0
"May 05, 2020",1014.0
"May 06, 2020",946.0
"May 07, 2020",917.0
"May 08, 2020",930.0
"May 09, 2020",908.0
"May 10, 2020",888.0
"May 11, 2020",918.0
"May 12, 2020",881.0
"May 13, 2020",848.0
"May 14, 2020",792.0
"May 15, 2020",730.0
"May 16, 2020",703.0
"May 17, 2020",681.0
"May 18, 2020",674.0
"May 19, 2020",665.0
"May 20, 2020",633.0
"May 21, 2020",578.0
"May 22, 2020",574.0
"May 23, 2020",534.0
"May 24, 2020",525.0
"May 25, 2020",500.0
"May 26, 2020",495.0
"May 27, 2020",480.0
"May 28, 2020",491.0
"May 29, 2020",472.0
"May 30, 2020",472.0
"May 31, 2020",453.0
"Jun 01, 2020",425.0
"Jun 02, 2020",400.0
"Jun 03, 2020",362.0
"Jun 04, 2020",353.0
"Jun 05, 2020",342.0
"Jun 06, 2020",343.0
"Jun 07, 2020",339.0
"Jun 08, 2020",349.0
"Jun 09, 2020",346.0
"Jun 10, 2020",299.0
"Jun 11, 2020",267.0
"Jun 12, 2020",263.0
"Jun 13, 2020",247.0
"Jun 14, 2020",257.0
"Jun 15, 2020",263.0
"Jun 16, 2020",266.0
"Jun 17, 2020",427.0
"Jun 18, 2020",476.0
"Jun 19, 2020",487.0
"Jun 20, 2020",542.0
"Jun 21, 2020",558.0
"Jun 22, 2020",582.0
"Jun 23, 2020",628.0
"Jun 24, 2020",535.0
"Jun 25, 2020",523.0
"Jun 26, 2020",534.0
"Jun 27, 2020",496.0
"Jun 28, 2020",470.0
"Jun 29, 2020",468.0
"Jun 30, 2020",436.0
"Jul 01, 2020",439.0
"Jul 02, 2020",419.0
"Jul 03, 2020",371.0
"Jul 04, 2020",390.0
"Jul 05, 2020",385.0
"Jul 06, 2020",381.0
"Jul 07, 2020",360.0
"Jul 08, 2020",349.0
"Jul 09, 2020",354.0
"Jul 10, 2020",370.0
"Jul 11, 2020",342.0
"Jul 12, 2020",342.0
"Jul 13, 2020",339.0
"Jul 14, 2020",345.0
"Jul 15, 2020",355.0
"Jul 16, 2020",377.0
"Jul 17, 2020",394.0
"Jul 18, 2020",394.0
"Jul 19, 2020",414.0
"Jul 20, 2020",436.0
"Jul 21, 2020",446.0
"Jul 22, 2020",460.0
"Jul 23, 2020",472.0
"Jul 24, 2020",516.0
"Jul 25, 2020",537.0
"Jul 26, 2020",557.0
"Jul 27, 2020",556.0
"Jul 28, 2020",580.0
"Jul 29, 2020",620.0
"Jul 30, 2020",645.0
"Jul 31, 2020",672.0
"Aug 01, 2020",678.0
"Aug 02, 2020",674.0
"Aug 03, 2020",706.0
"Aug 04, 2020",733.0
"Aug 05, 2020",756.0
"Aug 06, 2020",794.0
"Aug 07, 2020",807.0
"Aug 08, 2020",831.0
"Aug 09, 2020",831.0
"Aug 10, 2020",883.0
"Aug 11, 2020",922.0
"Aug 12, 2020",963.0
"Aug 13, 2020",1009.0
"Aug 14, 2020",1065.0
"Aug 15, 2020",1084.0
"Aug 16, 2020",1102.0
"Aug 17, 2020",1169.0
"Aug 18, 2020",1225.0
"Aug 19, 2020",1265.0
"Aug 20, 2020",1287.0
"Aug 21, 2020",1321.0
"Aug 22, 2020",1340.0
"Aug 23, 2020",1356.0
"Aug 24, 2020",1348.0
"Aug 25, 2020",1352.0
"Aug 26, 2020",1329.0
"Aug 27, 2020",1325.0
"Aug 28, 2020",1299.0
"Aug 29, 2020",1282.0
"Aug 30, 2020",1258.0
"Aug 31, 2020",1239.0
"Sep 01, 2020",1204.0
"Sep 02, 2020",1199.0
"Sep 03, 2020",1178.0
"Sep 04, 2020",1167.0
"Sep 05, 2020",1176.0
"Sep 06, 2020",1204.0
"Sep 07, 2020",1262.0
