date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",2.0
"Mar 12, 2020",2.0
"Mar 13, 2020",2.0
"Mar 14, 2020",3.0
"Mar 15, 2020",3.0
"Mar 16, 2020",6.0
"Mar 17, 2020",8.0
"Mar 18, 2020",9.0
"Mar 19, 2020",12.0
"Mar 20, 2020",24.0
"Mar 21, 2020",24.0
"Mar 22, 2020",26.0
"Mar 23, 2020",30.0
"Mar 24, 2020",30.0
"Mar 25, 2020",52.0
"Mar 26, 2020",67.0
"Mar 27, 2020",68.0
"Mar 28, 2020",95.0
"Mar 29, 2020",110.0
"Mar 30, 2020",139.0
"Mar 31, 2020",141.0
"Apr 01, 2020",172.0
"Apr 02, 2020",219.0
"Apr 03, 2020",222.0
"Apr 04, 2020",264.0
"Apr 05, 2020",268.0
"Apr 06, 2020",298.0
"Apr 07, 2020",305.0
"Apr 08, 2020",312.0
"Apr 09, 2020",343.0
"Apr 10, 2020",382.0
"Apr 11, 2020",392.0
"Apr 12, 2020",393.0
"Apr 13, 2020",397.0
"Apr 14, 2020",407.0
"Apr 15, 2020",419.0
"Apr 16, 2020",426.0
"Apr 17, 2020",442.0
"Apr 18, 2020",457.0
"Apr 19, 2020",472.0
"Apr 20, 2020",477.0
"Apr 21, 2020",494.0
"Apr 22, 2020",510.0
"Apr 23, 2020",519.0
"Apr 24, 2020",562.0
"Apr 25, 2020",591.0
"Apr 26, 2020",627.0
"Apr 27, 2020",661.0
"Apr 28, 2020",702.0
"Apr 29, 2020",738.0
"Apr 30, 2020",771.0
"May 01, 2020",804.0
"May 02, 2020",899.0
"May 03, 2020",1010.0
"May 04, 2020",1055.0
"May 05, 2020",1178.0
"May 06, 2020",1270.0
"May 07, 2020",1461.0
"May 08, 2020",1685.0
"May 09, 2020",1771.0
"May 10, 2020",1830.0
"May 11, 2020",1972.0
"May 12, 2020",2080.0
"May 13, 2020",2080.0
"May 14, 2020",2255.0
"May 15, 2020",2318.0
"May 16, 2020",2460.0
"May 17, 2020",2565.0
"May 18, 2020",2646.0
"May 19, 2020",2798.0
"May 20, 2020",2955.0
"May 21, 2020",3100.0
"May 22, 2020",3204.0
"May 23, 2020",3477.0
"May 24, 2020",3743.0
"May 25, 2020",3950.0
"May 26, 2020",4189.0
"May 27, 2020",4401.0
"May 28, 2020",4640.0
"May 29, 2020",4752.0
"May 30, 2020",4886.0
"May 31, 2020",5094.0
"Jun 01, 2020",5202.0
"Jun 02, 2020",5362.0
"Jun 03, 2020",5527.0
"Jun 04, 2020",5690.0
"Jun 05, 2020",5880.0
"Jun 06, 2020",5971.0
"Jun 07, 2020",6155.0
"Jun 08, 2020",6327.0
"Jun 09, 2020",6450.0
"Jun 10, 2020",6935.0
"Jun 11, 2020",7360.0
"Jun 12, 2020",7669.0
"Jun 13, 2020",8132.0
"Jun 14, 2020",8455.0
"Jun 15, 2020",8858.0
"Jun 16, 2020",9178.0
"Jun 17, 2020",9656.0
"Jun 18, 2020",10299.0
"Jun 19, 2020",10739.0
"Jun 20, 2020",11258.0
"Jun 21, 2020",12306.0
"Jun 22, 2020",12772.0
"Jun 23, 2020",13356.0
"Jun 24, 2020",13943.0
"Jun 25, 2020",14571.0
"Jun 26, 2020",15366.0
"Jun 27, 2020",15994.0
"Jun 28, 2020",17007.0
"Jun 29, 2020",18082.0
"Jun 30, 2020",18818.0
"Jul 01, 2020",19558.0
"Jul 02, 2020",20262.0
"Jul 03, 2020",21120.0
"Jul 04, 2020",22116.0
"Jul 05, 2020",22921.0
"Jul 06, 2020",23943.0
"Jul 07, 2020",24665.0
"Jul 08, 2020",25428.0
"Jul 09, 2020",25978.0
"Jul 10, 2020",26384.0
"Jul 11, 2020",27053.0
"Jul 12, 2020",27583.0
"Jul 13, 2020",28090.0
"Jul 14, 2020",28579.0
"Jul 15, 2020",29106.0
"Jul 16, 2020",30036.0
"Jul 17, 2020",30867.0
"Jul 18, 2020",31745.0
