date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",1.0
"Feb 23, 2020",1.0
"Feb 24, 2020",1.0
"Feb 25, 2020",5.0
"Feb 26, 2020",5.0
"Feb 27, 2020",7.0
"Feb 28, 2020",8.0
"Feb 29, 2020",13.0
"Mar 01, 2020",19.0
"Mar 02, 2020",27.0
"Mar 03, 2020",32.0
"Mar 04, 2020",37.0
"Mar 05, 2020",40.0
"Mar 06, 2020",46.0
"Mar 07, 2020",54.0
"Mar 08, 2020",65.0
"Mar 09, 2020",71.0
"Mar 10, 2020",71.0
"Mar 11, 2020",71.0
"Mar 12, 2020",83.0
"Mar 13, 2020",101.0
"Mar 14, 2020",110.0
"Mar 15, 2020",124.0
"Mar 16, 2020",133.0
"Mar 17, 2020",154.0
"Mar 18, 2020",164.0
"Mar 19, 2020",192.0
"Mar 20, 2020",208.0
"Mar 21, 2020",214.0
"Mar 22, 2020",233.0
"Mar 23, 2020",266.0
"Mar 24, 2020",316.0
"Mar 25, 2020",346.0
"Mar 26, 2020",382.0
"Mar 27, 2020",458.0
"Mar 28, 2020",506.0
"Mar 29, 2020",547.0
"Mar 30, 2020",630.0
"Mar 31, 2020",694.0
"Apr 01, 2020",728.0
"Apr 02, 2020",772.0
"Apr 03, 2020",820.0
"Apr 04, 2020",878.0
"Apr 05, 2020",961.0
"Apr 06, 2020",1031.0
"Apr 07, 2020",1122.0
"Apr 08, 2020",1202.0
"Apr 09, 2020",1232.0
"Apr 10, 2020",1279.0
"Apr 11, 2020",1318.0
"Apr 12, 2020",1352.0
"Apr 13, 2020",1378.0
"Apr 14, 2020",1400.0
"Apr 15, 2020",1415.0
"Apr 16, 2020",1434.0
"Apr 17, 2020",1482.0
"Apr 18, 2020",1513.0
"Apr 19, 2020",1539.0
"Apr 20, 2020",1574.0
"Apr 21, 2020",1602.0
"Apr 22, 2020",1631.0
"Apr 23, 2020",1677.0
"Apr 24, 2020",1708.0
"Apr 25, 2020",1763.0
"Apr 26, 2020",1820.0
"Apr 27, 2020",1847.0
"Apr 28, 2020",1928.0
"Apr 29, 2020",2003.0
"Apr 30, 2020",2085.0
"May 01, 2020",2153.0
"May 02, 2020",2219.0
"May 03, 2020",2296.0
"May 04, 2020",2346.0
"May 05, 2020",2431.0
"May 06, 2020",2480.0
"May 07, 2020",2543.0
"May 08, 2020",2603.0
"May 09, 2020",2679.0
"May 10, 2020",2767.0
"May 11, 2020",2818.0
"May 12, 2020",2913.0
"May 13, 2020",3032.0
"May 14, 2020",3143.0
"May 15, 2020",3193.0
"May 16, 2020",3260.0
"May 17, 2020",3404.0
"May 18, 2020",3554.0
"May 19, 2020",3611.0
"May 20, 2020",3724.0
"May 21, 2020",3877.0
"May 22, 2020",3964.0
"May 23, 2020",4272.0
"May 24, 2020",4469.0
"May 25, 2020",4632.0
"May 26, 2020",4848.0
"May 27, 2020",5135.0
"May 28, 2020",5457.0
"May 29, 2020",5873.0
"May 30, 2020",6179.0
"May 31, 2020",6439.0
"Jun 01, 2020",6868.0
"Jun 02, 2020",7387.0
"Jun 03, 2020",8168.0
"Jun 04, 2020",8840.0
"Jun 05, 2020",9846.0
"Jun 06, 2020",11098.0
"Jun 07, 2020",12366.0
"Jun 08, 2020",13481.0
"Jun 09, 2020",14268.0
"Jun 10, 2020",15414.0
"Jun 11, 2020",16675.0
"Jun 12, 2020",17770.0
"Jun 13, 2020",18950.0
"Jun 14, 2020",20209.0
"Jun 15, 2020",21315.0
"Jun 16, 2020",22700.0
"Jun 17, 2020",24254.0
"Jun 18, 2020",25717.0
"Jun 19, 2020",27352.0
"Jun 20, 2020",29222.0
"Jun 21, 2020",30868.0
"Jun 22, 2020",32676.0
"Jun 23, 2020",34502.0
"Jun 24, 2020",36702.0
"Jun 25, 2020",39139.0
"Jun 26, 2020",41193.0
"Jun 27, 2020",43262.0
"Jun 28, 2020",45402.0
"Jun 29, 2020",47151.0
"Jun 30, 2020",49109.0
"Jul 01, 2020",51524.0
"Jul 02, 2020",53708.0
"Jul 03, 2020",56020.0
"Jul 04, 2020",58354.0
"Jul 05, 2020",60479.0
"Jul 06, 2020",62275.0
"Jul 07, 2020",64701.0
"Jul 08, 2020",67442.0
"Jul 09, 2020",69612.0
"Jul 10, 2020",72460.0
"Jul 11, 2020",75194.0
"Jul 12, 2020",77506.0
"Jul 13, 2020",79735.0
"Jul 14, 2020",81757.0
"Jul 15, 2020",83867.0
"Jul 16, 2020",86148.0
