date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",3.0
"Feb 22, 2020",11.0
"Feb 23, 2020",22.0
"Feb 24, 2020",32.0
"Feb 25, 2020",46.0
"Feb 26, 2020",66.0
"Feb 27, 2020",93.0
"Feb 28, 2020",125.0
"Feb 29, 2020",150.0
"Mar 01, 2020",222.0
"Mar 02, 2020",260.0
"Mar 03, 2020",314.0
"Mar 04, 2020",377.0
"Mar 05, 2020",461.0
"Mar 06, 2020",539.0
"Mar 07, 2020",685.0
"Mar 08, 2020",817.0
"Mar 09, 2020",1027.0
"Mar 10, 2020",1101.0
"Mar 11, 2020",1349.0
"Mar 12, 2020",1620.0
"Mar 13, 2020",1874.0
"Mar 14, 2020",2199.0
"Mar 15, 2020",2500.0
"Mar 16, 2020",2708.0
"Mar 17, 2020",3074.0
"Mar 18, 2020",3347.0
"Mar 19, 2020",3731.0
"Mar 20, 2020",4227.0
"Mar 21, 2020",4666.0
"Mar 22, 2020",4949.0
"Mar 23, 2020",5172.0
"Mar 24, 2020",5419.0
"Mar 25, 2020",5561.0
"Mar 26, 2020",5687.0
"Mar 27, 2020",5675.0
"Mar 28, 2020",5592.0
"Mar 29, 2020",5543.0
"Mar 30, 2020",5436.0
"Mar 31, 2020",5266.0
"Apr 01, 2020",5206.0
"Apr 02, 2020",4985.0
"Apr 03, 2020",4796.0
"Apr 04, 2020",4627.0
"Apr 05, 2020",4498.0
"Apr 06, 2020",4434.0
"Apr 07, 2020",4287.0
"Apr 08, 2020",4150.0
"Apr 09, 2020",4084.0
"Apr 10, 2020",3992.0
"Apr 11, 2020",3977.0
"Apr 12, 2020",3944.0
"Apr 13, 2020",3880.0
"Apr 14, 2020",3871.0
"Apr 15, 2020",3703.0
"Apr 16, 2020",3643.0
"Apr 17, 2020",3577.0
"Apr 18, 2020",3404.0
"Apr 19, 2020",3253.0
"Apr 20, 2020",3123.0
"Apr 21, 2020",3088.0
"Apr 22, 2020",3189.0
"Apr 23, 2020",3024.0
"Apr 24, 2020",2957.0
"Apr 25, 2020",2793.0
"Apr 26, 2020",2690.0
"Apr 27, 2020",2615.0
"Apr 28, 2020",2525.0
"Apr 29, 2020",2339.0
"Apr 30, 2020",2229.0
"May 01, 2020",2076.0
"May 02, 2020",2011.0
"May 03, 2020",1876.0
"May 04, 2020",1802.0
"May 05, 2020",1656.0
"May 06, 2020",1564.0
"May 07, 2020",1496.0
"May 08, 2020",1404.0
"May 09, 2020",1287.0
"May 10, 2020",1202.0
"May 11, 2020",1134.0
"May 12, 2020",1180.0
"May 13, 2020",1101.0
"May 14, 2020",1042.0
"May 15, 2020",964.0
"May 16, 2020",934.0
"May 17, 2020",916.0
"May 18, 2020",874.0
"May 19, 2020",789.0
"May 20, 2020",757.0
"May 21, 2020",706.0
"May 22, 2020",687.0
"May 23, 2020",658.0
"May 24, 2020",637.0
"May 25, 2020",616.0
"May 26, 2020",555.0
"May 27, 2020",544.0
"May 28, 2020",537.0
"May 29, 2020",516.0
"May 30, 2020",481.0
"May 31, 2020",452.0
"Jun 01, 2020",437.0
"Jun 02, 2020",427.0
"Jun 03, 2020",388.0
"Jun 04, 2020",329.0
"Jun 05, 2020",329.0
"Jun 06, 2020",308.0
"Jun 07, 2020",288.0
"Jun 08, 2020",300.0
"Jun 09, 2020",295.0
"Jun 10, 2020",277.0
"Jun 11, 2020",306.0
"Jun 12, 2020",256.0
"Jun 13, 2020",266.0
"Jun 14, 2020",287.0
"Jun 15, 2020",289.0
"Jun 16, 2020",279.0
"Jun 17, 2020",298.0
"Jun 18, 2020",291.0
"Jun 19, 2020",303.0
"Jun 20, 2020",292.0
"Jun 21, 2020",276.0
"Jun 22, 2020",264.0
"Jun 23, 2020",250.0
"Jun 24, 2020",230.0
"Jun 25, 2020",224.0
"Jun 26, 2020",225.0
"Jun 27, 2020",212.0
"Jun 28, 2020",205.0
"Jun 29, 2020",191.0
"Jun 30, 2020",194.0
"Jul 01, 2020",194.0
"Jul 02, 2020",180.0
"Jul 03, 2020",175.0
"Jul 04, 2020",184.0
"Jul 05, 2020",186.0
"Jul 06, 2020",198.0
"Jul 07, 2020",198.0
"Jul 08, 2020",199.0
"Jul 09, 2020",201.0
"Jul 10, 2020",209.0
"Jul 11, 2020",202.0
"Jul 12, 2020",209.0
"Jul 13, 2020",202.0
"Jul 14, 2020",200.0
"Jul 15, 2020",194.0
"Jul 16, 2020",198.0
"Jul 17, 2020",190.0
"Jul 18, 2020",200.0
