date,count
"Feb 15, 2020",1.0
"Feb 16, 2020",1.0
"Feb 17, 2020",1.0
"Feb 18, 2020",1.0
"Feb 19, 2020",1.0
"Feb 20, 2020",1.0
"Feb 21, 2020",1.0
"Feb 22, 2020",1.0
"Feb 23, 2020",1.0
"Feb 24, 2020",1.0
"Feb 25, 2020",1.0
"Feb 26, 2020",3.0
"Feb 27, 2020",4.0
"Feb 28, 2020",5.0
"Feb 29, 2020",5.0
"Mar 01, 2020",6.0
"Mar 02, 2020",6.0
"Mar 03, 2020",6.0
"Mar 04, 2020",6.0
"Mar 05, 2020",6.0
"Mar 06, 2020",6.0
"Mar 07, 2020",6.0
"Mar 08, 2020",7.0
"Mar 09, 2020",9.0
"Mar 10, 2020",12.0
"Mar 11, 2020",15.0
"Mar 12, 2020",19.0
"Mar 13, 2020",21.0
"Mar 14, 2020",22.0
"Mar 15, 2020",24.0
"Mar 16, 2020",28.0
"Mar 17, 2020",29.0
"Mar 18, 2020",29.0
"Mar 19, 2020",33.0
"Mar 20, 2020",35.0
"Mar 21, 2020",36.0
"Mar 22, 2020",41.0
"Mar 23, 2020",42.0
"Mar 24, 2020",43.0
"Mar 25, 2020",45.0
"Mar 26, 2020",47.0
"Mar 27, 2020",49.0
"Mar 28, 2020",52.0
"Mar 29, 2020",54.0
"Mar 30, 2020",56.0
"Mar 31, 2020",57.0
"Apr 01, 2020",57.0
"Apr 02, 2020",63.0
"Apr 03, 2020",69.0
"Apr 04, 2020",77.0
"Apr 05, 2020",85.0
"Apr 06, 2020",92.0
"Apr 07, 2020",93.0
"Apr 08, 2020",94.0
"Apr 09, 2020",99.0
"Apr 10, 2020",99.0
"Apr 11, 2020",108.0
"Apr 12, 2020",123.0
"Apr 13, 2020",143.0
"Apr 14, 2020",146.0
"Apr 15, 2020",178.0
"Apr 16, 2020",190.0
"Apr 17, 2020",190.0
"Apr 18, 2020",222.0
"Apr 19, 2020",236.0
"Apr 20, 2020",263.0
"Apr 21, 2020",281.0
"Apr 22, 2020",299.0
"Apr 23, 2020",328.0
"Apr 24, 2020",345.0
"Apr 25, 2020",360.0
"Apr 26, 2020",372.0
"Apr 27, 2020",385.0
"Apr 28, 2020",394.0
"Apr 29, 2020",413.0
"Apr 30, 2020",430.0
"May 01, 2020",455.0
"May 02, 2020",474.0
"May 03, 2020",487.0
"May 04, 2020",536.0
"May 05, 2020",556.0
"May 06, 2020",556.0
"May 07, 2020",577.0
"May 08, 2020",590.0
"May 09, 2020",607.0
"May 10, 2020",624.0
"May 11, 2020",633.0
"May 12, 2020",657.0
"May 13, 2020",678.0
"May 14, 2020",697.0
"May 15, 2020",713.0
"May 16, 2020",725.0
"May 17, 2020",744.0
"May 18, 2020",749.0
"May 19, 2020",768.0
"May 20, 2020",771.0
"May 21, 2020",777.0
"May 22, 2020",796.0
"May 23, 2020",808.0
"May 24, 2020",820.0
"May 25, 2020",830.0
"May 26, 2020",846.0
"May 27, 2020",858.0
"May 28, 2020",867.0
"May 29, 2020",874.0
"May 30, 2020",886.0
"May 31, 2020",891.0
"Jun 01, 2020",892.0
"Jun 02, 2020",894.0
"Jun 03, 2020",900.0
"Jun 04, 2020",903.0
"Jun 05, 2020",907.0
"Jun 06, 2020",914.0
"Jun 07, 2020",916.0
"Jun 08, 2020",916.0
"Jun 09, 2020",916.0
"Jun 10, 2020",919.0
"Jun 11, 2020",920.0
"Jun 12, 2020",922.0
"Jun 13, 2020",924.0
"Jun 14, 2020",925.0
"Jun 15, 2020",925.0
"Jun 16, 2020",927.0
"Jun 17, 2020",931.0
"Jun 18, 2020",935.0
"Jun 19, 2020",935.0
"Jun 20, 2020",952.0
"Jun 21, 2020",953.0
"Jun 22, 2020",953.0
"Jun 23, 2020",955.0
"Jun 24, 2020",963.0
"Jun 25, 2020",968.0
"Jun 26, 2020",969.0
"Jun 27, 2020",971.0
"Jun 28, 2020",971.0
"Jun 29, 2020",972.0
"Jun 30, 2020",972.0
"Jul 01, 2020",974.0
"Jul 02, 2020",975.0
"Jul 03, 2020",976.0
"Jul 04, 2020",977.0
"Jul 05, 2020",977.0
"Jul 06, 2020",977.0
"Jul 07, 2020",978.0
"Jul 08, 2020",980.0
"Jul 09, 2020",981.0
"Jul 10, 2020",982.0
"Jul 11, 2020",982.0
"Jul 12, 2020",982.0
"Jul 13, 2020",982.0
"Jul 14, 2020",982.0
"Jul 15, 2020",984.0
"Jul 16, 2020",985.0
"Jul 17, 2020",985.0
"Jul 18, 2020",985.0
"Jul 19, 2020",985.0
"Jul 20, 2020",985.0
"Jul 21, 2020",988.0
"Jul 22, 2020",989.0
"Jul 23, 2020",990.0
"Jul 24, 2020",992.0
"Jul 25, 2020",993.0
"Jul 26, 2020",996.0
"Jul 27, 2020",996.0
"Jul 28, 2020",998.0
"Jul 29, 2020",1001.0
"Jul 30, 2020",1004.0
"Jul 31, 2020",1006.0
"Aug 01, 2020",1011.0
"Aug 02, 2020",1011.0
"Aug 03, 2020",1012.0
"Aug 04, 2020",1016.0
"Aug 05, 2020",1022.0
"Aug 06, 2020",1026.0
"Aug 07, 2020",1033.0
"Aug 08, 2020",1039.0
"Aug 09, 2020",1040.0
"Aug 10, 2020",1047.0
"Aug 11, 2020",1052.0
"Aug 12, 2020",1059.0
"Aug 13, 2020",1063.0
"Aug 14, 2020",1073.0
"Aug 15, 2020",1085.0
"Aug 16, 2020",1088.0
"Aug 17, 2020",1099.0
"Aug 18, 2020",1115.0
"Aug 19, 2020",1128.0
"Aug 20, 2020",1144.0
"Aug 21, 2020",1155.0
"Aug 22, 2020",1169.0
"Aug 23, 2020",1176.0
"Aug 24, 2020",1181.0
"Aug 25, 2020",1196.0
"Aug 26, 2020",1209.0
"Aug 27, 2020",1226.0
"Aug 28, 2020",1238.0
"Aug 29, 2020",1255.0
"Aug 30, 2020",1264.0
"Aug 31, 2020",1279.0
"Sep 01, 2020",1296.0
"Sep 02, 2020",1307.0
"Sep 03, 2020",1319.0
"Sep 04, 2020",1330.0
"Sep 05, 2020",1349.0
"Sep 06, 2020",1357.0
"Sep 07, 2020",1363.0
"Sep 08, 2020",1377.0
"Sep 09, 2020",1393.0
"Sep 10, 2020",1406.0
"Sep 11, 2020",1412.0
"Sep 12, 2020",1423.0
"Sep 13, 2020",1439.0
"Sep 14, 2020",1442.0
"Sep 15, 2020",1451.0
"Sep 16, 2020",1461.0
"Sep 17, 2020",1473.0
"Sep 18, 2020",1482.0
"Sep 19, 2020",1495.0
"Sep 20, 2020",1500.0
"Sep 21, 2020",1500.0
"Sep 22, 2020",1508.0
"Sep 23, 2020",1512.0
"Sep 24, 2020",1520.0
"Sep 25, 2020",1532.0
"Sep 26, 2020",1540.0
"Sep 27, 2020",1545.0
"Sep 28, 2020",1548.0
"Sep 29, 2020",1557.0
"Sep 30, 2020",1564.0
"Oct 01, 2020",1571.0
"Oct 02, 2020",1578.0
"Oct 03, 2020",1590.0
"Oct 04, 2020",1597.0
"Oct 05, 2020",1599.0
"Oct 06, 2020",1602.0
"Oct 07, 2020",1605.0
"Oct 08, 2020",1613.0
"Oct 09, 2020",1616.0
"Oct 10, 2020",1624.0
"Oct 11, 2020",1627.0
"Oct 12, 2020",1629.0
"Oct 13, 2020",1634.0
"Oct 14, 2020",1638.0
"Oct 15, 2020",1646.0
"Oct 16, 2020",1650.0
"Oct 17, 2020",1661.0
"Oct 18, 2020",1670.0
"Oct 19, 2020",1674.0
"Oct 20, 2020",1676.0
"Oct 21, 2020",1679.0
"Oct 22, 2020",1685.0
"Oct 23, 2020",1694.0
"Oct 24, 2020",1706.0
"Oct 25, 2020",1711.0
"Oct 26, 2020",1718.0
"Oct 27, 2020",1725.0
"Oct 28, 2020",1730.0
"Oct 29, 2020",1733.0
"Oct 30, 2020",1744.0
"Oct 31, 2020",1755.0
"Nov 01, 2020",1766.0
"Nov 02, 2020",1774.0
"Nov 03, 2020",1780.0
"Nov 04, 2020",1786.0
"Nov 05, 2020",1794.0
"Nov 06, 2020",1806.0
"Nov 07, 2020",1809.0
"Nov 08, 2020",1812.0
"Nov 09, 2020",1818.0
"Nov 10, 2020",1829.0
"Nov 11, 2020",1841.0
