date,count
"Feb 15, 2020",52.0
"Feb 16, 2020",58.0
"Feb 17, 2020",47.0
"Feb 18, 2020",53.0
"Feb 19, 2020",63.0
"Feb 20, 2020",73.0
"Feb 21, 2020",86.0
"Feb 22, 2020",111.0
"Feb 23, 2020",122.0
"Feb 24, 2020",135.0
"Feb 25, 2020",137.0
"Feb 26, 2020",146.0
"Feb 27, 2020",178.0
"Feb 28, 2020",196.0
"Feb 29, 2020",204.0
"Mar 01, 2020",208.0
"Mar 02, 2020",226.0
"Mar 03, 2020",244.0
"Mar 04, 2020",282.0
"Mar 05, 2020",315.0
"Mar 06, 2020",365.0
"Mar 07, 2020",379.0
"Mar 08, 2020",419.0
"Mar 09, 2020",437.0
"Mar 10, 2020",473.0
"Mar 11, 2020",506.0
"Mar 12, 2020",554.0
"Mar 13, 2020",595.0
"Mar 14, 2020",638.0
"Mar 15, 2020",665.0
"Mar 16, 2020",678.0
"Mar 17, 2020",705.0
"Mar 18, 2020",694.0
"Mar 19, 2020",719.0
"Mar 20, 2020",757.0
"Mar 21, 2020",803.0
"Mar 22, 2020",825.0
"Mar 23, 2020",851.0
"Mar 24, 2020",865.0
"Mar 25, 2020",952.0
"Mar 26, 2020",981.0
"Mar 27, 2020",1078.0
"Mar 28, 2020",1237.0
"Mar 29, 2020",1388.0
"Mar 30, 2020",1473.0
"Mar 31, 2020",1698.0
"Apr 01, 2020",1856.0
"Apr 02, 2020",2084.0
"Apr 03, 2020",2355.0
"Apr 04, 2020",2551.0
"Apr 05, 2020",2998.0
"Apr 06, 2020",3227.0
"Apr 07, 2020",3548.0
"Apr 08, 2020",3948.0
"Apr 09, 2020",4572.0
"Apr 10, 2020",5232.0
"Apr 11, 2020",5891.0
"Apr 12, 2020",6478.0
"Apr 13, 2020",6692.0
"Apr 14, 2020",6903.0
"Apr 15, 2020",7566.0
"Apr 16, 2020",8126.0
"Apr 17, 2020",8683.0
"Apr 18, 2020",9027.0
"Apr 19, 2020",9425.0
"Apr 20, 2020",9657.0
"Apr 21, 2020",9900.0
"Apr 22, 2020",10253.0
"Apr 23, 2020",10573.0
