date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",0.0
"Mar 12, 2020",0.0
"Mar 13, 2020",0.0
"Mar 14, 2020",0.0
"Mar 15, 2020",0.0
"Mar 16, 2020",0.0
"Mar 17, 2020",0.0
"Mar 18, 2020",5.0
"Mar 19, 2020",5.0
"Mar 20, 2020",10.0
"Mar 21, 2020",25.0
"Mar 22, 2020",25.0
"Mar 23, 2020",29.0
"Mar 24, 2020",77.0
"Mar 25, 2020",81.0
"Mar 26, 2020",81.0
"Mar 27, 2020",107.0
"Mar 28, 2020",107.0
"Mar 29, 2020",155.0
"Mar 30, 2020",173.0
"Mar 31, 2020",197.0
"Apr 01, 2020",204.0
"Apr 02, 2020",213.0
"Apr 03, 2020",239.0
"Apr 04, 2020",265.0
"Apr 05, 2020",270.0
"Apr 06, 2020",396.0
"Apr 07, 2020",418.0
"Apr 08, 2020",495.0
"Apr 09, 2020",513.0
"Apr 10, 2020",546.0
"Apr 11, 2020",621.0
"Apr 12, 2020",690.0
"Apr 13, 2020",767.0
"Apr 14, 2020",787.0
"Apr 15, 2020",822.0
"Apr 16, 2020",853.0
"Apr 17, 2020",895.0
"Apr 18, 2020",926.0
"Apr 19, 2020",1014.0
"Apr 20, 2020",1040.0
"Apr 21, 2020",1080.0
"Apr 22, 2020",1120.0
"Apr 23, 2020",1155.0
"Apr 24, 2020",1201.0
"Apr 25, 2020",1217.0
"Apr 26, 2020",1248.0
"Apr 27, 2020",1272.0
"Apr 28, 2020",1296.0
"Apr 29, 2020",1334.0
"Apr 30, 2020",1365.0
"May 01, 2020",1383.0
"May 02, 2020",1407.0
"May 03, 2020",1455.0
"May 04, 2020",1519.0
"May 05, 2020",1543.0
"May 06, 2020",1594.0
"May 07, 2020",1638.0
"May 08, 2020",1658.0
"May 09, 2020",1704.0
"May 10, 2020",1834.0
"May 11, 2020",1860.0
"May 12, 2020",1898.0
"May 13, 2020",1911.0
"May 14, 2020",1980.0
"May 15, 2020",2033.0
"May 16, 2020",2044.0
"May 17, 2020",2082.0
"May 18, 2020",2225.0
"May 19, 2020",2274.0
"May 20, 2020",2323.0
"May 21, 2020",2402.0
"May 22, 2020",2470.0
"May 23, 2020",2497.0
"May 24, 2020",2566.0
"May 25, 2020",2621.0
"May 26, 2020",2685.0
"May 27, 2020",2780.0
"May 28, 2020",2915.0
"May 29, 2020",3039.0
"May 30, 2020",3149.0
"May 31, 2020",3197.0
"Jun 01, 2020",3323.0
"Jun 02, 2020",3374.0
"Jun 03, 2020",3422.0
"Jun 04, 2020",3473.0
"Jun 05, 2020",3541.0
"Jun 06, 2020",3610.0
"Jun 07, 2020",3670.0
"Jun 08, 2020",3716.0
"Jun 09, 2020",3758.0
"Jun 10, 2020",3827.0
"Jun 11, 2020",3893.0
"Jun 12, 2020",3961.0
"Jun 13, 2020",4036.0
"Jun 14, 2020",4179.0
"Jun 15, 2020",4338.0
"Jun 16, 2020",4521.0
"Jun 17, 2020",4686.0
"Jun 18, 2020",4860.0
"Jun 19, 2020",5101.0
"Jun 20, 2020",5452.0
"Jun 21, 2020",5763.0
"Jun 22, 2020",6138.0
"Jun 23, 2020",6436.0
"Jun 24, 2020",6814.0
"Jun 25, 2020",7231.0
"Jun 26, 2020",7688.0
"Jun 27, 2020",8253.0
"Jun 28, 2020",8683.0
"Jun 29, 2020",9175.0
"Jun 30, 2020",9685.0
"Jul 01, 2020",10488.0
"Jul 02, 2020",11450.0
"Jul 03, 2020",12375.0
"Jul 04, 2020",12973.0
"Jul 05, 2020",13490.0
"Jul 06, 2020",14064.0
"Jul 07, 2020",14887.0
"Jul 08, 2020",15518.0
"Jul 09, 2020",16178.0
"Jul 10, 2020",17112.0
"Jul 11, 2020",18121.0
"Jul 12, 2020",19436.0
"Jul 13, 2020",20328.0
"Jul 14, 2020",20926.0
"Jul 15, 2020",21901.0
"Jul 16, 2020",22854.0
"Jul 17, 2020",23657.0
