date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",1.0
"Mar 03, 2020",1.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",2.0
"Mar 09, 2020",5.0
"Mar 10, 2020",7.0
"Mar 11, 2020",9.0
"Mar 12, 2020",15.0
"Mar 13, 2020",16.0
"Mar 14, 2020",25.0
"Mar 15, 2020",29.0
"Mar 16, 2020",33.0
"Mar 17, 2020",59.0
"Mar 18, 2020",70.0
"Mar 19, 2020",85.0
"Mar 20, 2020",108.0
"Mar 21, 2020",120.0
"Mar 22, 2020",135.0
"Mar 23, 2020",179.0
"Mar 24, 2020",196.0
"Mar 25, 2020",220.0
"Mar 26, 2020",243.0
"Mar 27, 2020",279.0
"Mar 28, 2020",304.0
"Mar 29, 2020",346.0
"Mar 30, 2020",375.0
"Mar 31, 2020",397.0
"Apr 01, 2020",445.0
"Apr 02, 2020",457.0
"Apr 03, 2020",491.0
"Apr 04, 2020",506.0
"Apr 05, 2020",530.0
"Apr 06, 2020",538.0
"Apr 07, 2020",544.0
"Apr 08, 2020",558.0
"Apr 09, 2020",569.0
"Apr 10, 2020",592.0
"Apr 11, 2020",608.0
"Apr 12, 2020",628.0
"Apr 13, 2020",630.0
"Apr 14, 2020",634.0
"Apr 15, 2020",643.0
"Apr 16, 2020",652.0
"Apr 17, 2020",586.0
"Apr 18, 2020",616.0
"Apr 19, 2020",631.0
"Apr 20, 2020",643.0
"Apr 21, 2020",604.0
"Apr 22, 2020",617.0
"Apr 23, 2020",634.0
"Apr 24, 2020",505.0
"Apr 25, 2020",525.0
"Apr 26, 2020",532.0
"Apr 27, 2020",538.0
"Apr 28, 2020",554.0
"Apr 29, 2020",486.0
"Apr 30, 2020",494.0
"May 01, 2020",506.0
"May 02, 2020",506.0
"May 03, 2020",514.0
"May 04, 2020",530.0
"May 05, 2020",530.0
"May 06, 2020",418.0
"May 07, 2020",427.0
"May 08, 2020",446.0
"May 09, 2020",448.0
"May 10, 2020",457.0
"May 11, 2020",464.0
"May 12, 2020",304.0
"May 13, 2020",305.0
"May 14, 2020",316.0
"May 15, 2020",289.0
"May 16, 2020",316.0
"May 17, 2020",326.0
"May 18, 2020",294.0
"May 19, 2020",297.0
"May 20, 2020",301.0
"May 21, 2020",309.0
"May 22, 2020",296.0
"May 23, 2020",312.0
"May 24, 2020",312.0
"May 25, 2020",314.0
"May 26, 2020",289.0
"May 27, 2020",292.0
"May 28, 2020",296.0
"May 29, 2020",295.0
"May 30, 2020",296.0
"May 31, 2020",296.0
"Jun 01, 2020",296.0
"Jun 02, 2020",286.0
"Jun 03, 2020",294.0
"Jun 04, 2020",297.0
"Jun 05, 2020",279.0
"Jun 06, 2020",280.0
"Jun 07, 2020",282.0
"Jun 08, 2020",281.0
"Jun 09, 2020",269.0
"Jun 10, 2020",272.0
"Jun 11, 2020",250.0
"Jun 12, 2020",250.0
"Jun 13, 2020",224.0
"Jun 14, 2020",224.0
"Jun 15, 2020",224.0
"Jun 16, 2020",193.0
"Jun 17, 2020",199.0
"Jun 18, 2020",175.0
"Jun 19, 2020",177.0
"Jun 20, 2020",178.0
"Jun 21, 2020",178.0
"Jun 22, 2020",178.0
"Jun 23, 2020",178.0
"Jun 24, 2020",178.0
"Jun 25, 2020",178.0
"Jun 26, 2020",150.0
"Jun 27, 2020",153.0
"Jun 28, 2020",154.0
"Jun 29, 2020",155.0
"Jun 30, 2020",114.0
"Jul 01, 2020",117.0
"Jul 02, 2020",104.0
"Jul 03, 2020",95.0
"Jul 04, 2020",93.0
"Jul 05, 2020",94.0
"Jul 06, 2020",97.0
"Jul 07, 2020",96.0
"Jul 08, 2020",103.0
"Jul 09, 2020",105.0
"Jul 10, 2020",116.0
"Jul 11, 2020",124.0
"Jul 12, 2020",124.0
"Jul 13, 2020",124.0
"Jul 14, 2020",121.0
"Jul 15, 2020",125.0
"Jul 16, 2020",126.0
"Jul 17, 2020",132.0
"Jul 18, 2020",136.0
"Jul 19, 2020",139.0
"Jul 20, 2020",139.0
"Jul 21, 2020",117.0
"Jul 22, 2020",121.0
"Jul 23, 2020",127.0
