date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",0.0
"Mar 12, 2020",0.0
"Mar 13, 2020",0.0
"Mar 14, 2020",0.0
"Mar 15, 2020",0.0
"Mar 16, 2020",0.0
"Mar 17, 2020",0.0
"Mar 18, 2020",0.0
"Mar 19, 2020",0.0
"Mar 20, 2020",0.0
"Mar 21, 2020",0.0
"Mar 22, 2020",1.0
"Mar 23, 2020",2.0
"Mar 24, 2020",2.0
"Mar 25, 2020",3.0
"Mar 26, 2020",3.0
"Mar 27, 2020",3.0
"Mar 28, 2020",4.0
"Mar 29, 2020",6.0
"Mar 30, 2020",7.0
"Mar 31, 2020",9.0
"Apr 01, 2020",11.0
"Apr 02, 2020",11.0
"Apr 03, 2020",12.0
"Apr 04, 2020",17.0
"Apr 05, 2020",18.0
"Apr 06, 2020",23.0
"Apr 07, 2020",26.0
"Apr 08, 2020",29.0
"Apr 09, 2020",30.0
"Apr 10, 2020",32.0
"Apr 11, 2020",34.0
"Apr 12, 2020",34.0
"Apr 13, 2020",38.0
"Apr 14, 2020",44.0
"Apr 15, 2020",45.0
"Apr 16, 2020",46.0
"Apr 17, 2020",49.0
"Apr 18, 2020",49.0
"Apr 19, 2020",51.0
"Apr 20, 2020",54.0
"Apr 21, 2020",55.0
"Apr 22, 2020",56.0
"Apr 23, 2020",56.0
"Apr 24, 2020",57.0
"Apr 25, 2020",59.0
"Apr 26, 2020",61.0
"Apr 27, 2020",65.0
"Apr 28, 2020",71.0
"Apr 29, 2020",73.0
"Apr 30, 2020",77.0
"May 01, 2020",81.0
"May 02, 2020",82.0
"May 03, 2020",84.0
"May 04, 2020",85.0
"May 05, 2020",86.0
"May 06, 2020",88.0
"May 07, 2020",89.0
"May 08, 2020",90.0
"May 09, 2020",91.0
"May 10, 2020",91.0
"May 11, 2020",91.0
"May 12, 2020",92.0
"May 13, 2020",95.0
"May 14, 2020",95.0
"May 15, 2020",97.0
"May 16, 2020",98.0
"May 17, 2020",101.0
"May 18, 2020",104.0
"May 19, 2020",106.0
"May 20, 2020",110.0
"May 21, 2020",111.0
"May 22, 2020",112.0
"May 23, 2020",113.0
"May 24, 2020",113.0
"May 25, 2020",113.0
"May 26, 2020",116.0
"May 27, 2020",119.0
"May 28, 2020",121.0
"May 29, 2020",126.0
"May 30, 2020",131.0
"May 31, 2020",133.0
"Jun 01, 2020",140.0
"Jun 02, 2020",141.0
"Jun 03, 2020",145.0
"Jun 04, 2020",147.0
"Jun 05, 2020",149.0
"Jun 06, 2020",151.0
"Jun 07, 2020",153.0
"Jun 08, 2020",156.0
"Jun 09, 2020",157.0
"Jun 10, 2020",164.0
"Jun 11, 2020",169.0
"Jun 12, 2020",171.0
"Jun 13, 2020",179.0
"Jun 14, 2020",188.0
"Jun 15, 2020",193.0
"Jun 16, 2020",201.0
"Jun 17, 2020",210.0
"Jun 18, 2020",216.0
"Jun 19, 2020",222.0
"Jun 20, 2020",233.0
"Jun 21, 2020",238.0
"Jun 22, 2020",247.0
"Jun 23, 2020",251.0
"Jun 24, 2020",259.0
"Jun 25, 2020",265.0
"Jun 26, 2020",268.0
"Jun 27, 2020",277.0
"Jun 28, 2020",286.0
"Jun 29, 2020",298.0
"Jun 30, 2020",302.0
"Jul 01, 2020",306.0
"Jul 02, 2020",321.0
"Jul 03, 2020",328.0
"Jul 04, 2020",334.0
"Jul 05, 2020",341.0
"Jul 06, 2020",346.0
"Jul 07, 2020",351.0
"Jul 08, 2020",359.0
"Jul 09, 2020",362.0
"Jul 10, 2020",368.0
"Jul 11, 2020",376.0
"Jul 12, 2020",382.0
"Jul 13, 2020",385.0
"Jul 14, 2020",389.0
"Jul 15, 2020",393.0
"Jul 16, 2020",401.0
"Jul 17, 2020",406.0
"Jul 18, 2020",414.0
"Jul 19, 2020",422.0
"Jul 20, 2020",432.0
"Jul 21, 2020",432.0
"Jul 22, 2020",442.0
"Jul 23, 2020",445.0
