date,count
"Feb 15, 2020",15.0
"Feb 16, 2020",14.0
"Feb 17, 2020",13.0
"Feb 18, 2020",11.0
"Feb 19, 2020",7.0
"Feb 20, 2020",5.0
"Feb 21, 2020",5.0
"Feb 22, 2020",5.0
"Feb 23, 2020",4.0
"Feb 24, 2020",5.0
"Feb 25, 2020",2.0
"Feb 26, 2020",2.0
"Feb 27, 2020",3.0
"Feb 28, 2020",5.0
"Feb 29, 2020",5.0
"Mar 01, 2020",7.0
"Mar 02, 2020",7.0
"Mar 03, 2020",14.0
"Mar 04, 2020",28.0
"Mar 05, 2020",33.0
"Mar 06, 2020",60.0
"Mar 07, 2020",70.0
"Mar 08, 2020",75.0
"Mar 09, 2020",93.0
"Mar 10, 2020",42.0
"Mar 11, 2020",123.0
"Mar 12, 2020",132.0
"Mar 13, 2020",165.0
"Mar 14, 2020",203.0
"Mar 15, 2020",386.0
"Mar 16, 2020",511.0
"Mar 17, 2020",622.0
"Mar 18, 2020",728.0
"Mar 19, 2020",823.0
"Mar 20, 2020",940.0
"Mar 21, 2020",1061.0
"Mar 22, 2020",1157.0
"Mar 23, 2020",1345.0
"Mar 24, 2020",1425.0
"Mar 25, 2020",1577.0
"Mar 26, 2020",1793.0
"Mar 27, 2020",1876.0
"Mar 28, 2020",1973.0
"Mar 29, 2020",2047.0
"Mar 30, 2020",2110.0
"Mar 31, 2020",2186.0
"Apr 01, 2020",2218.0
"Apr 02, 2020",2299.0
"Apr 03, 2020",2453.0
"Apr 04, 2020",2511.0
"Apr 05, 2020",2596.0
"Apr 06, 2020",2490.0
"Apr 07, 2020",2579.0
"Apr 08, 2020",2567.0
"Apr 09, 2020",2553.0
"Apr 10, 2020",2446.0
"Apr 11, 2020",2462.0
"Apr 12, 2020",2499.0
"Apr 13, 2020",2464.0
"Apr 14, 2020",2427.0
"Apr 15, 2020",2342.0
"Apr 16, 2020",2332.0
"Apr 17, 2020",2198.0
"Apr 18, 2020",2115.0
"Apr 19, 2020",2103.0
"Apr 20, 2020",2041.0
"Apr 21, 2020",2041.0
"Apr 22, 2020",1987.0
"Apr 23, 2020",1966.0
"Apr 24, 2020",1932.0
"Apr 25, 2020",1882.0
"Apr 26, 2020",1820.0
"Apr 27, 2020",1764.0
"Apr 28, 2020",1719.0
"Apr 29, 2020",1758.0
"Apr 30, 2020",1729.0
"May 01, 2020",1758.0
"May 02, 2020",1747.0
"May 03, 2020",1780.0
"May 04, 2020",1764.0
"May 05, 2020",1710.0
"May 06, 2020",1619.0
"May 07, 2020",1584.0
"May 08, 2020",1564.0
"May 09, 2020",1552.0
"May 10, 2020",1523.0
"May 11, 2020",1504.0
"May 12, 2020",1410.0
"May 13, 2020",1387.0
"May 14, 2020",1356.0
"May 15, 2020",1304.0
"May 16, 2020",1247.0
"May 17, 2020",1210.0
"May 18, 2020",1213.0
"May 19, 2020",1218.0
"May 20, 2020",1189.0
"May 21, 2020",1149.0
"May 22, 2020",1163.0
"May 23, 2020",1158.0
"May 24, 2020",1185.0
"May 25, 2020",1323.0
"May 26, 2020",1448.0
"May 27, 2020",1421.0
"May 28, 2020",1345.0
"May 29, 2020",1382.0
"May 30, 2020",1317.0
"May 31, 2020",1351.0
"Jun 01, 2020",1338.0
"Jun 02, 2020",1292.0
"Jun 03, 2020",1324.0
"Jun 04, 2020",1573.0
"Jun 05, 2020",1540.0
"Jun 06, 2020",1551.0
"Jun 07, 2020",1531.0
"Jun 08, 2020",1518.0
"Jun 09, 2020",1244.0
"Jun 10, 2020",1206.0
"Jun 11, 2020",1186.0
"Jun 12, 2020",1115.0
"Jun 13, 2020",1014.0
"Jun 14, 2020",986.0
"Jun 15, 2020",973.0
"Jun 16, 2020",651.0
"Jun 17, 2020",521.0
"Jun 18, 2020",408.0
"Jun 19, 2020",344.0
"Jun 20, 2020",289.0
"Jun 21, 2020",295.0
"Jun 22, 2020",289.0
"Jun 23, 2020",283.0
"Jun 24, 2020",244.0
"Jun 25, 2020",208.0
"Jun 26, 2020",191.0
"Jun 27, 2020",187.0
"Jun 28, 2020",195.0
"Jun 29, 2020",182.0
"Jun 30, 2020",164.0
"Jul 01, 2020",144.0
"Jul 02, 2020",85.0
"Jul 03, 2020",81.0
"Jul 04, 2020",76.0
"Jul 05, 2020",77.0
"Jul 06, 2020",71.0
"Jul 07, 2020",72.0
"Jul 08, 2020",70.0
"Jul 09, 2020",63.0
"Jul 10, 2020",64.0
"Jul 11, 2020",67.0
"Jul 12, 2020",77.0
"Jul 13, 2020",83.0
"Jul 14, 2020",83.0
"Jul 15, 2020",86.0
"Jul 16, 2020",77.0
"Jul 17, 2020",92.0
"Jul 18, 2020",96.0
"Jul 19, 2020",103.0
"Jul 20, 2020",122.0
"Jul 21, 2020",130.0
"Jul 22, 2020",142.0
"Jul 23, 2020",143.0
"Jul 24, 2020",161.0
"Jul 25, 2020",167.0
"Jul 26, 2020",173.0
"Jul 27, 2020",179.0
"Jul 28, 2020",212.0
"Jul 29, 2020",220.0
"Jul 30, 2020",223.0
"Jul 31, 2020",207.0
"Aug 01, 2020",213.0
"Aug 02, 2020",210.0
"Aug 03, 2020",208.0
"Aug 04, 2020",193.0
"Aug 05, 2020",196.0
"Aug 06, 2020",200.0
"Aug 07, 2020",210.0
"Aug 08, 2020",170.0
"Aug 09, 2020",174.0
"Aug 10, 2020",166.0
"Aug 11, 2020",169.0
"Aug 12, 2020",172.0
"Aug 13, 2020",183.0
"Aug 14, 2020",196.0
"Aug 15, 2020",219.0
"Aug 16, 2020",216.0
"Aug 17, 2020",211.0
"Aug 18, 2020",192.0
"Aug 19, 2020",185.0
"Aug 20, 2020",183.0
"Aug 21, 2020",179.0
"Aug 22, 2020",183.0
"Aug 23, 2020",183.0
"Aug 24, 2020",184.0
"Aug 25, 2020",189.0
"Aug 26, 2020",188.0
"Aug 27, 2020",177.0
"Aug 28, 2020",151.0
"Aug 29, 2020",154.0
"Aug 30, 2020",160.0
"Aug 31, 2020",159.0
"Sep 01, 2020",151.0
"Sep 02, 2020",153.0
"Sep 03, 2020",163.0
"Sep 04, 2020",165.0
"Sep 05, 2020",150.0
"Sep 06, 2020",154.0
"Sep 07, 2020",207.0
"Sep 08, 2020",295.0
"Sep 09, 2020",312.0
"Sep 10, 2020",333.0
"Sep 11, 2020",501.0
"Sep 12, 2020",551.0
"Sep 13, 2020",591.0
"Sep 14, 2020",615.0
"Sep 15, 2020",632.0
"Sep 16, 2020",668.0
"Sep 17, 2020",674.0
"Sep 18, 2020",754.0
"Sep 19, 2020",722.0
"Sep 20, 2020",734.0
"Sep 21, 2020",751.0
"Sep 22, 2020",665.0
"Sep 23, 2020",770.0
"Sep 24, 2020",778.0
"Sep 25, 2020",858.0
"Sep 26, 2020",851.0
"Sep 27, 2020",950.0
"Sep 28, 2020",1011.0
"Sep 29, 2020",1062.0
"Sep 30, 2020",1121.0
