date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",1.0
"Mar 08, 2020",1.0
"Mar 09, 2020",1.0
"Mar 10, 2020",3.0
"Mar 11, 2020",3.0
"Mar 12, 2020",6.0
"Mar 13, 2020",6.0
"Mar 14, 2020",12.0
"Mar 15, 2020",23.0
"Mar 16, 2020",29.0
"Mar 17, 2020",30.0
"Mar 18, 2020",36.0
"Mar 19, 2020",49.0
"Mar 20, 2020",66.0
"Mar 21, 2020",80.0
"Mar 22, 2020",94.0
"Mar 23, 2020",109.0
"Mar 24, 2020",125.0
"Mar 25, 2020",149.0
"Mar 26, 2020",177.0
"Mar 27, 2020",199.0
"Mar 28, 2020",231.0
"Mar 29, 2020",263.0
"Mar 30, 2020",298.0
"Mar 31, 2020",353.0
"Apr 01, 2020",423.0
"Apr 02, 2020",505.0
"Apr 03, 2020",591.0
"Apr 04, 2020",752.0
"Apr 05, 2020",864.0
"Apr 06, 2020",965.0
"Apr 07, 2020",1056.0
"Apr 08, 2020",1174.0
"Apr 09, 2020",1289.0
"Apr 10, 2020",1438.0
"Apr 11, 2020",1560.0
"Apr 12, 2020",1662.0
"Apr 13, 2020",1712.0
"Apr 14, 2020",1934.0
"Apr 15, 2020",2049.0
"Apr 16, 2020",2154.0
"Apr 17, 2020",2264.0
"Apr 18, 2020",2351.0
"Apr 19, 2020",2472.0
"Apr 20, 2020",2548.0
"Apr 21, 2020",2614.0
"Apr 22, 2020",2778.0
"Apr 23, 2020",2926.0
"Apr 24, 2020",3110.0
"Apr 25, 2020",3304.0
"Apr 26, 2020",3408.0
"Apr 27, 2020",3481.0
"Apr 28, 2020",3638.0
"Apr 29, 2020",3771.0
"Apr 30, 2020",3897.0
"May 01, 2020",3980.0
"May 02, 2020",4052.0
"May 03, 2020",4121.0
"May 04, 2020",4248.0
"May 05, 2020",4363.0
"May 06, 2020",4476.0
"May 07, 2020",4605.0
"May 08, 2020",4728.0
"May 09, 2020",4867.0
"May 10, 2020",4927.0
"May 11, 2020",4995.0
"May 12, 2020",5154.0
"May 13, 2020",5406.0
"May 14, 2020",5553.0
"May 15, 2020",5745.0
"May 16, 2020",5934.0
"May 17, 2020",6060.0
"May 18, 2020",6138.0
"May 19, 2020",6340.0
"May 20, 2020",6553.0
"May 21, 2020",6704.0
"May 22, 2020",6847.0
"May 23, 2020",6994.0
"May 24, 2020",7093.0
"May 25, 2020",7147.0
"May 26, 2020",7305.0
"May 27, 2020",7537.0
"May 28, 2020",7725.0
"May 29, 2020",7896.0
"May 30, 2020",8098.0
"May 31, 2020",8251.0
"Jun 01, 2020",8360.0
"Jun 02, 2020",8548.0
"Jun 03, 2020",8795.0
"Jun 04, 2020",9018.0
"Jun 05, 2020",9247.0
"Jun 06, 2020",9511.0
"Jun 07, 2020",9700.0
"Jun 08, 2020",9807.0
"Jun 09, 2020",10025.0
"Jun 10, 2020",10321.0
"Jun 11, 2020",10727.0
"Jun 12, 2020",11093.0
"Jun 13, 2020",11459.0
"Jun 14, 2020",11740.0
"Jun 15, 2020",11879.0
"Jun 16, 2020",12254.0
"Jun 17, 2020",12732.0
"Jun 18, 2020",13106.0
"Jun 19, 2020",13556.0
"Jun 20, 2020",13953.0
"Jun 21, 2020",14200.0
"Jun 22, 2020",14363.0
"Jun 23, 2020",14714.0
"Jun 24, 2020",15078.0
"Jun 25, 2020",15453.0
"Jun 26, 2020",15776.0
"Jun 27, 2020",16080.0
"Jun 28, 2020",16250.0
"Jun 29, 2020",16357.0
"Jun 30, 2020",16613.0
"Jul 01, 2020",16898.0
"Jul 02, 2020",17150.0
"Jul 03, 2020",17445.0
"Jul 04, 2020",17672.0
"Jul 05, 2020",17814.0
"Jul 06, 2020",17906.0
"Jul 07, 2020",18141.0
"Jul 08, 2020",18471.0
"Jul 09, 2020",18666.0
"Jul 10, 2020",18924.0
"Jul 11, 2020",19208.0
"Jul 12, 2020",19382.0
"Jul 13, 2020",19439.0
"Jul 14, 2020",19708.0
"Jul 15, 2020",20040.0
"Jul 16, 2020",20264.0
