date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",1.0
"Feb 27, 2020",4.0
"Feb 28, 2020",6.0
"Feb 29, 2020",15.0
"Mar 01, 2020",19.0
"Mar 02, 2020",25.0
"Mar 03, 2020",33.0
"Mar 04, 2020",59.0
"Mar 05, 2020",94.0
"Mar 06, 2020",126.0
"Mar 07, 2020",156.0
"Mar 08, 2020",175.0
"Mar 09, 2020",226.0
"Mar 10, 2020",399.0
"Mar 11, 2020",628.0
"Mar 12, 2020",798.0
"Mar 13, 2020",994.0
"Mar 14, 2020",1105.0
"Mar 15, 2020",1252.0
"Mar 16, 2020",1344.0
"Mar 17, 2020",1467.0
"Mar 18, 2020",1584.0
"Mar 19, 2020",1782.0
"Mar 20, 2020",1951.0
"Mar 21, 2020",2151.0
"Mar 22, 2020",2372.0
"Mar 23, 2020",2609.0
"Mar 24, 2020",2848.0
"Mar 25, 2020",3064.0
"Mar 26, 2020",3352.0
"Mar 27, 2020",3745.0
"Mar 28, 2020",3985.0
"Mar 29, 2020",4251.0
"Mar 30, 2020",4401.0
"Mar 31, 2020",4589.0
"Apr 01, 2020",4820.0
"Apr 02, 2020",5065.0
"Apr 03, 2020",5279.0
"Apr 04, 2020",5456.0
"Apr 05, 2020",5584.0
"Apr 06, 2020",5757.0
"Apr 07, 2020",5965.0
"Apr 08, 2020",5909.0
"Apr 09, 2020",6079.0
"Apr 10, 2020",6169.0
"Apr 11, 2020",6258.0
"Apr 12, 2020",6365.0
"Apr 13, 2020",6437.0
"Apr 14, 2020",6452.0
"Apr 15, 2020",6615.0
"Apr 16, 2020",6721.0
"Apr 17, 2020",6744.0
"Apr 18, 2020",6840.0
"Apr 19, 2020",6881.0
"Apr 20, 2020",6942.0
"Apr 21, 2020",7026.0
"Apr 22, 2020",7118.0
"Apr 23, 2020",7174.0
"Apr 24, 2020",7231.0
"Apr 25, 2020",7259.0
"Apr 26, 2020",7293.0
"Apr 27, 2020",7361.0
"Apr 28, 2020",7421.0
"Apr 29, 2020",7470.0
"Apr 30, 2020",7495.0
"May 01, 2020",7540.0
"May 02, 2020",7565.0
"May 03, 2020",7603.0
"May 04, 2020",7657.0
"May 05, 2020",7707.0
"May 06, 2020",7747.0
"May 07, 2020",7784.0
"May 08, 2020",7819.0
"May 09, 2020",7847.0
"May 10, 2020",7853.0
"May 11, 2020",7875.0
"May 12, 2020",7896.0
"May 13, 2020",7913.0
"May 14, 2020",7931.0
"May 15, 2020",7954.0
"May 16, 2020",7972.0
"May 17, 2020",7984.0
"May 18, 2020",7991.0
"May 19, 2020",8001.0
"May 20, 2020",8014.0
"May 21, 2020",8041.0
"May 22, 2020",369.0
"May 23, 2020",383.0
"May 24, 2020",389.0
"May 25, 2020",401.0
"May 26, 2020",420.0
"May 27, 2020",438.0
"May 28, 2020",447.0
"May 29, 2020",458.0
"May 30, 2020",473.0
"May 31, 2020",476.0
"Jun 01, 2020",482.0
"Jun 02, 2020",490.0
"Jun 03, 2020",512.0
"Jun 04, 2020",127.0
"Jun 05, 2020",145.0
"Jun 06, 2020",154.0
"Jun 07, 2020",170.0
"Jun 08, 2020",183.0
"Jun 09, 2020",198.0
"Jun 10, 2020",216.0
"Jun 11, 2020",227.0
"Jun 12, 2020",239.0
"Jun 13, 2020",247.0
"Jun 14, 2020",250.0
"Jun 15, 2020",266.0
"Jun 16, 2020",279.0
"Jun 17, 2020",310.0
"Jun 18, 2020",325.0
"Jun 19, 2020",343.0
"Jun 20, 2020",359.0
"Jun 21, 2020",362.0
"Jun 22, 2020",364.0
"Jun 23, 2020",385.0
"Jun 24, 2020",400.0
"Jun 25, 2020",400.0
"Jun 26, 2020",444.0
"Jun 27, 2020",458.0
"Jun 28, 2020",467.0
"Jun 29, 2020",474.0
"Jun 30, 2020",490.0
"Jul 01, 2020",506.0
"Jul 02, 2020",512.0
"Jul 03, 2020",531.0
"Jul 04, 2020",536.0
"Jul 05, 2020",540.0
"Jul 06, 2020",546.0
"Jul 07, 2020",557.0
"Jul 08, 2020",560.0
"Jul 09, 2020",574.0
"Jul 10, 2020",583.0
"Jul 11, 2020",586.0
"Jul 12, 2020",590.0
"Jul 13, 2020",592.0
"Jul 14, 2020",609.0
"Jul 15, 2020",619.0
"Jul 16, 2020",622.0
"Jul 17, 2020",631.0
"Jul 18, 2020",634.0
