date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",3.0
"Mar 12, 2020",3.0
"Mar 13, 2020",5.0
"Mar 14, 2020",7.0
"Mar 15, 2020",6.0
"Mar 16, 2020",8.0
"Mar 17, 2020",10.0
"Mar 18, 2020",10.0
"Mar 19, 2020",11.0
"Mar 20, 2020",15.0
"Mar 21, 2020",17.0
"Mar 22, 2020",25.0
"Mar 23, 2020",28.0
"Mar 24, 2020",33.0
"Mar 25, 2020",42.0
"Mar 26, 2020",50.0
"Mar 27, 2020",57.0
"Mar 28, 2020",69.0
"Mar 29, 2020",74.0
"Mar 30, 2020",77.0
"Mar 31, 2020",85.0
"Apr 01, 2020",97.0
"Apr 02, 2020",102.0
"Apr 03, 2020",135.0
"Apr 04, 2020",138.0
"Apr 05, 2020",167.0
"Apr 06, 2020",202.0
"Apr 07, 2020",221.0
"Apr 08, 2020",229.0
"Apr 09, 2020",243.0
"Apr 10, 2020",232.0
"Apr 11, 2020",251.0
"Apr 12, 2020",246.0
"Apr 13, 2020",265.0
"Apr 14, 2020",288.0
"Apr 15, 2020",316.0
"Apr 16, 2020",350.0
"Apr 17, 2020",369.0
"Apr 18, 2020",374.0
"Apr 19, 2020",384.0
"Apr 20, 2020",368.0
"Apr 21, 2020",346.0
"Apr 22, 2020",320.0
"Apr 23, 2020",280.0
"Apr 24, 2020",256.0
"Apr 25, 2020",255.0
"Apr 26, 2020",246.0
"Apr 27, 2020",235.0
"Apr 28, 2020",230.0
"Apr 29, 2020",230.0
"Apr 30, 2020",247.0
"May 01, 2020",246.0
"May 02, 2020",227.0
"May 03, 2020",203.0
"May 04, 2020",183.0
"May 05, 2020",168.0
"May 06, 2020",153.0
"May 07, 2020",120.0
"May 08, 2020",105.0
"May 09, 2020",96.0
"May 10, 2020",93.0
"May 11, 2020",88.0
"May 12, 2020",81.0
"May 13, 2020",72.0
"May 14, 2020",75.0
"May 15, 2020",71.0
"May 16, 2020",66.0
"May 17, 2020",71.0
"May 18, 2020",75.0
"May 19, 2020",70.0
"May 20, 2020",77.0
"May 21, 2020",77.0
"May 22, 2020",84.0
"May 23, 2020",85.0
"May 24, 2020",79.0
"May 25, 2020",70.0
"May 26, 2020",71.0
"May 27, 2020",63.0
"May 28, 2020",54.0
"May 29, 2020",48.0
"May 30, 2020",41.0
"May 31, 2020",36.0
"Jun 01, 2020",34.0
"Jun 02, 2020",32.0
"Jun 03, 2020",36.0
"Jun 04, 2020",38.0
"Jun 05, 2020",45.0
"Jun 06, 2020",52.0
"Jun 07, 2020",58.0
"Jun 08, 2020",67.0
"Jun 09, 2020",73.0
"Jun 10, 2020",72.0
"Jun 11, 2020",76.0
"Jun 12, 2020",73.0
"Jun 13, 2020",73.0
"Jun 14, 2020",69.0
"Jun 15, 2020",68.0
"Jun 16, 2020",65.0
"Jun 17, 2020",71.0
"Jun 18, 2020",73.0
"Jun 19, 2020",76.0
"Jun 20, 2020",79.0
"Jun 21, 2020",84.0
"Jun 22, 2020",89.0
"Jun 23, 2020",95.0
"Jun 24, 2020",102.0
"Jun 25, 2020",108.0
"Jun 26, 2020",122.0
"Jun 27, 2020",141.0
"Jun 28, 2020",165.0
"Jun 29, 2020",185.0
"Jun 30, 2020",210.0
"Jul 01, 2020",229.0
"Jul 02, 2020",261.0
"Jul 03, 2020",277.0
"Jul 04, 2020",291.0
"Jul 05, 2020",297.0
"Jul 06, 2020",305.0
"Jul 07, 2020",308.0
"Jul 08, 2020",320.0
"Jul 09, 2020",307.0
"Jul 10, 2020",317.0
"Jul 11, 2020",321.0
"Jul 12, 2020",318.0
"Jul 13, 2020",317.0
"Jul 14, 2020",324.0
"Jul 15, 2020",322.0
"Jul 16, 2020",340.0
"Jul 17, 2020",340.0
"Jul 18, 2020",346.0
"Jul 19, 2020",362.0
"Jul 20, 2020",374.0
"Jul 21, 2020",374.0
"Jul 22, 2020",385.0
"Jul 23, 2020",390.0
