date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",1.0
"Mar 07, 2020",3.0
"Mar 08, 2020",5.0
"Mar 09, 2020",7.0
"Mar 10, 2020",7.0
"Mar 11, 2020",10.0
"Mar 12, 2020",21.0
"Mar 13, 2020",32.0
"Mar 14, 2020",44.0
"Mar 15, 2020",61.0
"Mar 16, 2020",72.0
"Mar 17, 2020",97.0
"Mar 18, 2020",105.0
"Mar 19, 2020",124.0
"Mar 20, 2020",137.0
"Mar 21, 2020",178.0
"Mar 22, 2020",185.0
"Mar 23, 2020",186.0
"Mar 24, 2020",204.0
"Mar 25, 2020",216.0
"Mar 26, 2020",226.0
"Mar 27, 2020",269.0
"Mar 28, 2020",292.0
"Mar 29, 2020",314.0
"Mar 30, 2020",336.0
"Mar 31, 2020",363.0
"Apr 01, 2020",400.0
"Apr 02, 2020",426.0
"Apr 03, 2020",450.0
"Apr 04, 2020",471.0
"Apr 05, 2020",485.0
"Apr 06, 2020",534.0
"Apr 07, 2020",581.0
"Apr 08, 2020",682.0
"Apr 09, 2020",701.0
"Apr 10, 2020",715.0
"Apr 11, 2020",728.0
"Apr 12, 2020",742.0
"Apr 13, 2020",769.0
"Apr 14, 2020",835.0
"Apr 15, 2020",863.0
"Apr 16, 2020",977.0
"Apr 17, 2020",1049.0
"Apr 18, 2020",1089.0
"Apr 19, 2020",1161.0
"Apr 20, 2020",1173.0
"Apr 21, 2020",1199.0
"Apr 22, 2020",1244.0
"Apr 23, 2020",1325.0
"Apr 24, 2020",1360.0
"Apr 25, 2020",1373.0
"Apr 26, 2020",1379.0
"Apr 27, 2020",1381.0
"Apr 28, 2020",1384.0
"Apr 29, 2020",1391.0
"Apr 30, 2020",1396.0
"May 01, 2020",1403.0
"May 02, 2020",1407.0
"May 03, 2020",1408.0
"May 04, 2020",1413.0
"May 05, 2020",1421.0
"May 06, 2020",1429.0
"May 07, 2020",1445.0
"May 08, 2020",1455.0
"May 09, 2020",1455.0
"May 10, 2020",1457.0
"May 11, 2020",1457.0
"May 12, 2020",1465.0
"May 13, 2020",1469.0
"May 14, 2020",1477.0
"May 15, 2020",1480.0
"May 16, 2020",1493.0
"May 17, 2020",1494.0
"May 18, 2020",1495.0
"May 19, 2020",1495.0
"May 20, 2020",1496.0
"May 21, 2020",1502.0
"May 22, 2020",1503.0
"May 23, 2020",1504.0
"May 24, 2020",1509.0
"May 25, 2020",1511.0
"May 26, 2020",1513.0
"May 27, 2020",1515.0
"May 28, 2020",1520.0
"May 29, 2020",1520.0
"May 30, 2020",1521.0
"May 31, 2020",1521.0
"Jun 01, 2020",1522.0
"Jun 02, 2020",1522.0
"Jun 03, 2020",1525.0
"Jun 04, 2020",1526.0
"Jun 05, 2020",1526.0
"Jun 06, 2020",1528.0
"Jun 07, 2020",1528.0
"Jun 08, 2020",1530.0
"Jun 09, 2020",1531.0
"Jun 10, 2020",1533.0
"Jun 11, 2020",1541.0
"Jun 12, 2020",1542.0
"Jun 13, 2020",1545.0
"Jun 14, 2020",1548.0
"Jun 15, 2020",1552.0
"Jun 16, 2020",1552.0
"Jun 17, 2020",1561.0
"Jun 18, 2020",1562.0
"Jun 19, 2020",1576.0
"Jun 20, 2020",1586.0
"Jun 21, 2020",1587.0
"Jun 22, 2020",1588.0
"Jun 23, 2020",1589.0
"Jun 24, 2020",1607.0
"Jun 25, 2020",1630.0
"Jun 26, 2020",1643.0
"Jun 27, 2020",1657.0
"Jun 28, 2020",1664.0
"Jun 29, 2020",1665.0
"Jun 30, 2020",1667.0
"Jul 01, 2020",1687.0
"Jul 02, 2020",1700.0
"Jul 03, 2020",1720.0
"Jul 04, 2020",1749.0
"Jul 05, 2020",1764.0
"Jul 06, 2020",1765.0
"Jul 07, 2020",1767.0
"Jul 08, 2020",1798.0
"Jul 09, 2020",1851.0
"Jul 10, 2020",1870.0
"Jul 11, 2020",1893.0
"Jul 12, 2020",1901.0
"Jul 13, 2020",1902.0
"Jul 14, 2020",1908.0
"Jul 15, 2020",1927.0
"Jul 16, 2020",1951.0
"Jul 17, 2020",1965.0
