date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",1.0
"Mar 07, 2020",3.0
"Mar 08, 2020",5.0
"Mar 09, 2020",7.0
"Mar 10, 2020",7.0
"Mar 11, 2020",10.0
"Mar 12, 2020",21.0
"Mar 13, 2020",32.0
"Mar 14, 2020",44.0
"Mar 15, 2020",61.0
"Mar 16, 2020",72.0
"Mar 17, 2020",97.0
"Mar 18, 2020",105.0
"Mar 19, 2020",124.0
"Mar 20, 2020",137.0
"Mar 21, 2020",171.0
"Mar 22, 2020",178.0
"Mar 23, 2020",179.0
"Mar 24, 2020",197.0
"Mar 25, 2020",209.0
"Mar 26, 2020",224.0
"Mar 27, 2020",267.0
"Mar 28, 2020",290.0
"Mar 29, 2020",312.0
"Mar 30, 2020",329.0
"Mar 31, 2020",360.0
"Apr 01, 2020",396.0
"Apr 02, 2020",420.0
"Apr 03, 2020",441.0
"Apr 04, 2020",462.0
"Apr 05, 2020",476.0
"Apr 06, 2020",524.0
"Apr 07, 2020",566.0
"Apr 08, 2020",664.0
"Apr 09, 2020",676.0
"Apr 10, 2020",690.0
"Apr 11, 2020",703.0
"Apr 12, 2020",717.0
"Apr 13, 2020",660.0
"Apr 14, 2020",720.0
"Apr 15, 2020",706.0
"Apr 16, 2020",802.0
"Apr 17, 2020",865.0
"Apr 18, 2020",865.0
"Apr 19, 2020",920.0
"Apr 20, 2020",909.0
"Apr 21, 2020",927.0
"Apr 22, 2020",946.0
"Apr 23, 2020",1022.0
"Apr 24, 2020",988.0
"Apr 25, 2020",970.0
"Apr 26, 2020",967.0
"Apr 27, 2020",960.0
"Apr 28, 2020",941.0
"Apr 29, 2020",885.0
"Apr 30, 2020",849.0
"May 01, 2020",822.0
"May 02, 2020",775.0
"May 03, 2020",765.0
"May 04, 2020",745.0
"May 05, 2020",655.0
"May 06, 2020",642.0
"May 07, 2020",613.0
"May 08, 2020",524.0
"May 09, 2020",510.0
"May 10, 2020",490.0
"May 11, 2020",472.0
"May 12, 2020",455.0
"May 13, 2020",382.0
"May 14, 2020",338.0
"May 15, 2020",322.0
"May 16, 2020",314.0
"May 17, 2020",303.0
"May 18, 2020",282.0
"May 19, 2020",275.0
"May 20, 2020",237.0
"May 21, 2020",229.0
"May 22, 2020",219.0
"May 23, 2020",196.0
"May 24, 2020",180.0
"May 25, 2020",176.0
"May 26, 2020",163.0
"May 27, 2020",160.0
"May 28, 2020",160.0
"May 29, 2020",154.0
"May 30, 2020",137.0
"May 31, 2020",127.0
"Jun 01, 2020",126.0
"Jun 02, 2020",122.0
"Jun 03, 2020",122.0
"Jun 04, 2020",122.0
"Jun 05, 2020",119.0
"Jun 06, 2020",121.0
"Jun 07, 2020",111.0
"Jun 08, 2020",106.0
"Jun 09, 2020",101.0
"Jun 10, 2020",101.0
"Jun 11, 2020",104.0
"Jun 12, 2020",105.0
"Jun 13, 2020",107.0
"Jun 14, 2020",110.0
"Jun 15, 2020",114.0
"Jun 16, 2020",98.0
"Jun 17, 2020",96.0
"Jun 18, 2020",91.0
"Jun 19, 2020",101.0
"Jun 20, 2020",111.0
"Jun 21, 2020",112.0
"Jun 22, 2020",113.0
"Jun 23, 2020",113.0
"Jun 24, 2020",131.0
"Jun 25, 2020",150.0
"Jun 26, 2020",160.0
"Jun 27, 2020",174.0
"Jun 28, 2020",175.0
"Jun 29, 2020",173.0
"Jun 30, 2020",175.0
"Jul 01, 2020",193.0
"Jul 02, 2020",206.0
"Jul 03, 2020",226.0
"Jul 04, 2020",255.0
"Jul 05, 2020",270.0
"Jul 06, 2020",271.0
"Jul 07, 2020",266.0
"Jul 08, 2020",297.0
"Jul 09, 2020",346.0
"Jul 10, 2020",361.0
"Jul 11, 2020",372.0
"Jul 12, 2020",380.0
"Jul 13, 2020",381.0
"Jul 14, 2020",387.0
"Jul 15, 2020",392.0
"Jul 16, 2020",409.0
"Jul 17, 2020",414.0
"Jul 18, 2020",425.0
"Jul 19, 2020",421.0
"Jul 20, 2020",414.0
"Jul 21, 2020",455.0
"Jul 22, 2020",474.0
"Jul 23, 2020",505.0
