date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",7.0
"Mar 06, 2020",16.0
"Mar 07, 2020",19.0
"Mar 08, 2020",19.0
"Mar 09, 2020",26.0
"Mar 10, 2020",31.0
"Mar 11, 2020",31.0
"Mar 12, 2020",32.0
"Mar 13, 2020",36.0
"Mar 14, 2020",39.0
"Mar 15, 2020",39.0
"Mar 16, 2020",40.0
"Mar 17, 2020",43.0
"Mar 18, 2020",43.0
"Mar 19, 2020",45.0
"Mar 20, 2020",47.0
"Mar 21, 2020",50.0
"Mar 22, 2020",57.0
"Mar 23, 2020",57.0
"Mar 24, 2020",58.0
"Mar 25, 2020",63.0
"Mar 26, 2020",84.0
"Mar 27, 2020",91.0
"Mar 28, 2020",98.0
"Mar 29, 2020",106.0
"Mar 30, 2020",117.0
"Mar 31, 2020",119.0
"Apr 01, 2020",133.0
"Apr 02, 2020",154.0
"Apr 03, 2020",193.0
"Apr 04, 2020",217.0
"Apr 05, 2020",236.0
"Apr 06, 2020",254.0
"Apr 07, 2020",261.0
"Apr 08, 2020",263.0
"Apr 09, 2020",263.0
"Apr 10, 2020",267.0
"Apr 11, 2020",268.0
"Apr 12, 2020",271.0
"Apr 13, 2020",274.0
"Apr 14, 2020",288.0
"Apr 15, 2020",291.0
"Apr 16, 2020",295.0
"Apr 17, 2020",307.0
"Apr 18, 2020",313.0
"Apr 19, 2020",322.0
"Apr 20, 2020",329.0
"Apr 21, 2020",334.0
"Apr 22, 2020",335.0
"Apr 23, 2020",336.0
"Apr 24, 2020",340.0
"Apr 25, 2020",342.0
"Apr 26, 2020",342.0
"Apr 27, 2020",342.0
"Apr 28, 2020",343.0
"Apr 29, 2020",344.0
"Apr 30, 2020",344.0
"May 01, 2020",353.0
"May 02, 2020",353.0
"May 03, 2020",353.0
"May 04, 2020",362.0
"May 05, 2020",371.0
"May 06, 2020",374.0
"May 07, 2020",375.0
"May 08, 2020",375.0
"May 09, 2020",375.0
"May 10, 2020",375.0
"May 11, 2020",375.0
"May 12, 2020",375.0
"May 13, 2020",375.0
"May 14, 2020",375.0
"May 15, 2020",375.0
"May 16, 2020",376.0
"May 17, 2020",381.0
"May 18, 2020",388.0
"May 19, 2020",391.0
"May 20, 2020",398.0
"May 21, 2020",423.0
"May 22, 2020",423.0
"May 23, 2020",423.0
"May 24, 2020",423.0
"May 25, 2020",423.0
"May 26, 2020",429.0
"May 27, 2020",434.0
"May 28, 2020",446.0
"May 29, 2020",446.0
"May 30, 2020",447.0
"May 31, 2020",448.0
"Jun 01, 2020",449.0
"Jun 02, 2020",451.0
"Jun 03, 2020",457.0
"Jun 04, 2020",464.0
"Jun 05, 2020",464.0
"Jun 06, 2020",464.0
"Jun 07, 2020",472.0
"Jun 08, 2020",473.0
"Jun 09, 2020",481.0
"Jun 10, 2020",485.0
"Jun 11, 2020",487.0
"Jun 12, 2020",489.0
"Jun 13, 2020",489.0
"Jun 14, 2020",492.0
"Jun 15, 2020",505.0
"Jun 16, 2020",514.0
"Jun 17, 2020",555.0
"Jun 18, 2020",600.0
"Jun 19, 2020",675.0
"Jun 20, 2020",784.0
"Jun 21, 2020",833.0
"Jun 22, 2020",1001.0
"Jun 23, 2020",1169.0
"Jun 24, 2020",1328.0
"Jun 25, 2020",1382.0
"Jun 26, 2020",1557.0
"Jun 27, 2020",1815.0
"Jun 28, 2020",1990.0
"Jun 29, 2020",2185.0
"Jun 30, 2020",2428.0
"Jul 01, 2020",2758.0
"Jul 02, 2020",3080.0
"Jul 03, 2020",3334.0
"Jul 04, 2020",3835.0
"Jul 05, 2020",4277.0
"Jul 06, 2020",4341.0
"Jul 07, 2020",4647.0
"Jul 08, 2020",5029.0
"Jul 09, 2020",5220.0
"Jul 10, 2020",5551.0
"Jul 11, 2020",5931.0
"Jul 12, 2020",6230.0
"Jul 13, 2020",6566.0
"Jul 14, 2020",6764.0
"Jul 15, 2020",7064.0
"Jul 16, 2020",7412.0
"Jul 17, 2020",7764.0
"Jul 18, 2020",8204.0
"Jul 19, 2020",8549.0
"Jul 20, 2020",8916.0
"Jul 21, 2020",9228.0
