date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",0.0
"Mar 04, 2020",0.0
"Mar 05, 2020",0.0
"Mar 06, 2020",0.0
"Mar 07, 2020",0.0
"Mar 08, 2020",0.0
"Mar 09, 2020",0.0
"Mar 10, 2020",0.0
"Mar 11, 2020",0.0
"Mar 12, 2020",0.0
"Mar 13, 2020",0.0
"Mar 14, 2020",0.0
"Mar 15, 2020",0.0
"Mar 16, 2020",0.0
"Mar 17, 2020",0.0
"Mar 18, 2020",0.0
"Mar 19, 2020",0.0
"Mar 20, 2020",0.0
"Mar 21, 2020",0.0
"Mar 22, 2020",1.0
"Mar 23, 2020",1.0
"Mar 24, 2020",1.0
"Mar 25, 2020",2.0
"Mar 26, 2020",2.0
"Mar 27, 2020",2.0
"Mar 28, 2020",2.0
"Mar 29, 2020",4.0
"Mar 30, 2020",3.0
"Mar 31, 2020",3.0
"Apr 01, 2020",3.0
"Apr 02, 2020",3.0
"Apr 03, 2020",3.0
"Apr 04, 2020",4.0
"Apr 05, 2020",4.0
"Apr 06, 2020",6.0
"Apr 07, 2020",8.0
"Apr 08, 2020",10.0
"Apr 09, 2020",10.0
"Apr 10, 2020",10.0
"Apr 11, 2020",11.0
"Apr 12, 2020",13.0
"Apr 13, 2020",12.0
"Apr 14, 2020",10.0
"Apr 15, 2020",19.0
"Apr 16, 2020",22.0
"Apr 17, 2020",22.0
"Apr 18, 2020",18.0
"Apr 19, 2020",14.0
"Apr 20, 2020",42.0
"Apr 21, 2020",68.0
"Apr 22, 2020",76.0
"Apr 23, 2020",106.0
"Apr 24, 2020",124.0
"Apr 25, 2020",129.0
"Apr 26, 2020",127.0
"Apr 27, 2020",160.0
"Apr 28, 2020",169.0
"Apr 29, 2020",202.0
"Apr 30, 2020",231.0
"May 01, 2020",284.0
"May 02, 2020",327.0
"May 03, 2020",412.0
"May 04, 2020",458.0
"May 05, 2020",445.0
"May 06, 2020",512.0
"May 07, 2020",590.0
"May 08, 2020",646.0
"May 09, 2020",691.0
"May 10, 2020",824.0
"May 11, 2020",853.0
"May 12, 2020",1032.0
"May 13, 2020",1151.0
"May 14, 2020",1273.0
"May 15, 2020",1419.0
"May 16, 2020",1542.0
"May 17, 2020",1535.0
"May 18, 2020",1815.0
"May 19, 2020",2062.0
"May 20, 2020",2055.0
"May 21, 2020",2148.0
"May 22, 2020",2470.0
"May 23, 2020",2450.0
"May 24, 2020",2606.0
"May 25, 2020",2790.0
"May 26, 2020",2913.0
"May 27, 2020",2927.0
"May 28, 2020",2857.0
"May 29, 2020",2963.0
"May 30, 2020",2276.0
"May 31, 2020",2203.0
"Jun 01, 2020",2313.0
"Jun 02, 2020",2380.0
"Jun 03, 2020",2395.0
"Jun 04, 2020",2363.0
"Jun 05, 2020",2389.0
"Jun 06, 2020",2461.0
"Jun 07, 2020",2598.0
"Jun 08, 2020",2750.0
"Jun 09, 2020",2639.0
"Jun 10, 2020",2674.0
"Jun 11, 2020",2844.0
"Jun 12, 2020",2684.0
"Jun 13, 2020",2611.0
"Jun 14, 2020",2667.0
"Jun 15, 2020",2626.0
"Jun 16, 2020",2688.0
"Jun 17, 2020",2687.0
"Jun 18, 2020",2980.0
"Jun 19, 2020",3092.0
"Jun 20, 2020",2895.0
"Jun 21, 2020",3111.0
"Jun 22, 2020",3071.0
"Jun 23, 2020",2844.0
"Jun 24, 2020",2933.0
"Jun 25, 2020",2874.0
"Jun 26, 2020",2572.0
"Jun 27, 2020",2647.0
"Jun 28, 2020",2917.0
"Jun 29, 2020",2964.0
"Jun 30, 2020",2966.0
"Jul 01, 2020",2182.0
"Jul 02, 2020",2298.0
"Jul 03, 2020",2340.0
"Jul 04, 2020",2456.0
"Jul 05, 2020",2386.0
"Jul 06, 2020",2147.0
"Jul 07, 2020",1948.0
"Jul 08, 2020",2012.0
"Jul 09, 2020",1921.0
"Jul 10, 2020",1884.0
"Jul 11, 2020",1914.0
"Jul 12, 2020",1913.0
"Jul 13, 2020",1872.0
"Jul 14, 2020",1616.0
"Jul 15, 2020",1649.0
"Jul 16, 2020",1739.0
"Jul 17, 2020",1798.0
"Jul 18, 2020",1777.0
