date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",211.0
"Feb 17, 2020",219.0
"Feb 18, 2020",238.0
"Feb 19, 2020",253.0
"Feb 20, 2020",278.0
"Feb 21, 2020",286.0
"Feb 22, 2020",301.0
"Feb 23, 2020",333.0
"Feb 24, 2020",364.0
"Feb 25, 2020",414.0
"Feb 26, 2020",487.0
"Feb 27, 2020",534.0
"Feb 28, 2020",545.0
"Feb 29, 2020",551.0
"Mar 01, 2020",557.0
"Mar 02, 2020",636.0
"Mar 03, 2020",695.0
"Mar 04, 2020",775.0
"Mar 05, 2020",818.0
"Mar 06, 2020",850.0
"Mar 07, 2020",929.0
"Mar 08, 2020",1106.0
"Mar 09, 2020",1213.0
"Mar 10, 2020",1365.0
"Mar 11, 2020",1346.0
"Mar 12, 2020",1285.0
"Mar 13, 2020",1313.0
"Mar 14, 2020",1313.0
"Mar 15, 2020",1319.0
"Mar 16, 2020",1386.0
"Mar 17, 2020",1460.0
"Mar 18, 2020",1635.0
"Mar 19, 2020",1799.0
"Mar 20, 2020",1811.0
"Mar 21, 2020",1855.0
"Mar 22, 2020",1916.0
"Mar 23, 2020",1924.0
"Mar 24, 2020",1884.0
"Mar 25, 2020",1857.0
"Mar 26, 2020",1830.0
"Mar 27, 2020",1802.0
"Mar 28, 2020",1782.0
"Mar 29, 2020",1720.0
"Mar 30, 2020",1620.0
"Mar 31, 2020",1524.0
"Apr 01, 2020",1458.0
"Apr 02, 2020",1395.0
"Apr 03, 2020",1377.0
"Apr 04, 2020",1336.0
"Apr 05, 2020",1250.0
"Apr 06, 2020",1183.0
"Apr 07, 2020",1127.0
"Apr 08, 2020",996.0
"Apr 09, 2020",961.0
"Apr 10, 2020",937.0
"Apr 11, 2020",896.0
"Apr 12, 2020",824.0
"Apr 13, 2020",772.0
"Apr 14, 2020",699.0
"Apr 15, 2020",667.0
"Apr 16, 2020",608.0
"Apr 17, 2020",605.0
"Apr 18, 2020",591.0
"Apr 19, 2020",579.0
"Apr 20, 2020",556.0
"Apr 21, 2020",527.0
"Apr 22, 2020",521.0
"Apr 23, 2020",526.0
"Apr 24, 2020",519.0
"Apr 25, 2020",516.0
"Apr 26, 2020",511.0
"Apr 27, 2020",507.0
"Apr 28, 2020",510.0
"Apr 29, 2020",525.0
"Apr 30, 2020",540.0
"May 01, 2020",537.0
"May 02, 2020",542.0
"May 03, 2020",525.0
"May 04, 2020",529.0
"May 05, 2020",522.0
"May 06, 2020",503.0
"May 07, 2020",481.0
"May 08, 2020",488.0
"May 09, 2020",487.0
"May 10, 2020",498.0
"May 11, 2020",487.0
"May 12, 2020",500.0
"May 13, 2020",504.0
"May 14, 2020",499.0
"May 15, 2020",498.0
"May 16, 2020",487.0
"May 17, 2020",482.0
"May 18, 2020",470.0
"May 19, 2020",461.0
"May 20, 2020",460.0
"May 21, 2020",468.0
"May 22, 2020",471.0
"May 23, 2020",476.0
"May 24, 2020",481.0
"May 25, 2020",488.0
"May 26, 2020",484.0
