date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",1.0
"Mar 03, 2020",1.0
"Mar 04, 2020",1.0
"Mar 05, 2020",1.0
"Mar 06, 2020",1.0
"Mar 07, 2020",1.0
"Mar 08, 2020",2.0
"Mar 09, 2020",5.0
"Mar 10, 2020",6.0
"Mar 11, 2020",7.0
"Mar 12, 2020",13.0
"Mar 13, 2020",16.0
"Mar 14, 2020",18.0
"Mar 15, 2020",20.0
"Mar 16, 2020",24.0
"Mar 17, 2020",27.0
"Mar 18, 2020",29.0
"Mar 19, 2020",39.0
"Mar 20, 2020",54.0
"Mar 21, 2020",60.0
"Mar 22, 2020",75.0
"Mar 23, 2020",89.0
"Mar 24, 2020",114.0
"Mar 25, 2020",175.0
"Mar 26, 2020",199.0
"Mar 27, 2020",229.0
"Mar 28, 2020",282.0
"Mar 29, 2020",316.0
"Mar 30, 2020",368.0
"Mar 31, 2020",400.0
"Apr 01, 2020",429.0
"Apr 02, 2020",461.0
"Apr 03, 2020",502.0
"Apr 04, 2020",562.0
"Apr 05, 2020",583.0
"Apr 06, 2020",605.0
"Apr 07, 2020",632.0
"Apr 08, 2020",637.0
"Apr 09, 2020",652.0
"Apr 10, 2020",680.0
"Apr 11, 2020",694.0
"Apr 12, 2020",716.0
"Apr 13, 2020",735.0
"Apr 14, 2020",756.0
"Apr 15, 2020",789.0
"Apr 16, 2020",832.0
"Apr 17, 2020",875.0
"Apr 18, 2020",877.0
"Apr 19, 2020",890.0
"Apr 20, 2020",895.0
"Apr 21, 2020",912.0
"Apr 22, 2020",920.0
"Apr 23, 2020",929.0
"Apr 24, 2020",933.0
"Apr 25, 2020",950.0
"Apr 26, 2020",960.0
"Apr 27, 2020",978.0
"Apr 28, 2020",986.0
"Apr 29, 2020",991.0
"Apr 30, 2020",1005.0
"May 01, 2020",1009.0
"May 02, 2020",1020.0
"May 03, 2020",1024.0
"May 04, 2020",1029.0
"May 05, 2020",1033.0
"May 06, 2020",1036.0
"May 07, 2020",1037.0
"May 08, 2020",1041.0
"May 09, 2020",1043.0
"May 10, 2020",1043.0
"May 11, 2020",1043.0
"May 12, 2020",1043.0
"May 13, 2020",1043.0
"May 14, 2020",1043.0
"May 15, 2020",1046.0
"May 16, 2020",1048.0
"May 17, 2020",1048.0
"May 18, 2020",1054.0
"May 19, 2020",1054.0
"May 20, 2020",1056.0
"May 21, 2020",1057.0
"May 22, 2020",1059.0
"May 23, 2020",1059.0
"May 24, 2020",1059.0
"May 25, 2020",1062.0
"May 26, 2020",1062.0
"May 27, 2020",1062.0
"May 28, 2020",1079.0
"May 29, 2020",1082.0
"May 30, 2020",1087.0
"May 31, 2020",1088.0
"Jun 01, 2020",1095.0
"Jun 02, 2020",1097.0
"Jun 03, 2020",1098.0
"Jun 04, 2020",1098.0
"Jun 05, 2020",1098.0
"Jun 06, 2020",1098.0
"Jun 07, 2020",1098.0
"Jun 08, 2020",1098.0
"Jun 09, 2020",1098.0
"Jun 10, 2020",1098.0
"Jun 11, 2020",1098.0
"Jun 12, 2020",1104.0
"Jun 13, 2020",1105.0
"Jun 14, 2020",1107.0
"Jun 15, 2020",1121.0
"Jun 16, 2020",1136.0
"Jun 17, 2020",1139.0
"Jun 18, 2020",1143.0
"Jun 19, 2020",1157.0
"Jun 20, 2020",1167.0
"Jun 21, 2020",1168.0
"Jun 22, 2020",1170.0
"Jun 23, 2020",1170.0
"Jun 24, 2020",1171.0
"Jun 25, 2020",1173.0
"Jun 26, 2020",1175.0
"Jun 27, 2020",1179.0
"Jun 28, 2020",1180.0
"Jun 29, 2020",1183.0
"Jun 30, 2020",1185.0
"Jul 01, 2020",1186.0
"Jul 02, 2020",1189.0
"Jul 03, 2020",1192.0
"Jul 04, 2020",1197.0
"Jul 05, 2020",1199.0
"Jul 06, 2020",1210.0
"Jul 07, 2020",1216.0
"Jul 08, 2020",1232.0
"Jul 09, 2020",1242.0
"Jul 10, 2020",1251.0
"Jul 11, 2020",1256.0
"Jul 12, 2020",1274.0
"Jul 13, 2020",1314.0
"Jul 14, 2020",1318.0
"Jul 15, 2020",1331.0
"Jul 16, 2020",1339.0
"Jul 17, 2020",1348.0
"Jul 18, 2020",1360.0
