date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",0.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",0.0
"Feb 23, 2020",0.0
"Feb 24, 2020",0.0
"Feb 25, 2020",0.0
"Feb 26, 2020",0.0
"Feb 27, 2020",0.0
"Feb 28, 2020",0.0
"Feb 29, 2020",0.0
"Mar 01, 2020",0.0
"Mar 02, 2020",0.0
"Mar 03, 2020",1.0
"Mar 04, 2020",3.0
"Mar 05, 2020",3.0
"Mar 06, 2020",6.0
"Mar 07, 2020",6.0
"Mar 08, 2020",6.0
"Mar 09, 2020",9.0
"Mar 10, 2020",14.0
"Mar 11, 2020",17.0
"Mar 12, 2020",25.0
"Mar 13, 2020",38.0
"Mar 14, 2020",54.0
"Mar 15, 2020",76.0
"Mar 16, 2020",108.0
"Mar 17, 2020",155.0
"Mar 18, 2020",208.0
"Mar 19, 2020",276.0
"Mar 20, 2020",349.0
"Mar 21, 2020",458.0
"Mar 22, 2020",588.0
"Mar 23, 2020",752.0
"Mar 24, 2020",938.0
"Mar 25, 2020",1175.0
"Mar 26, 2020",1478.0
"Mar 27, 2020",1841.0
"Mar 28, 2020",2239.0
"Mar 29, 2020",2675.0
"Mar 30, 2020",3181.0
"Mar 31, 2020",3771.0
"Apr 01, 2020",4433.0
"Apr 02, 2020",5202.0
"Apr 03, 2020",6008.0
"Apr 04, 2020",6848.0
"Apr 05, 2020",7755.0
"Apr 06, 2020",8672.0
"Apr 07, 2020",9567.0
"Apr 08, 2020",10565.0
"Apr 09, 2020",11642.0
"Apr 10, 2020",12645.0
"Apr 11, 2020",13589.0
"Apr 12, 2020",14545.0
"Apr 13, 2020",15503.0
"Apr 14, 2020",16399.0
"Apr 15, 2020",17258.0
"Apr 16, 2020",18136.0
"Apr 17, 2020",18979.0
"Apr 18, 2020",19798.0
"Apr 19, 2020",20598.0
"Apr 20, 2020",21369.0
"Apr 21, 2020",22152.0
"Apr 22, 2020",22897.0
"Apr 23, 2020",23628.0
"Apr 24, 2020",24306.0
"Apr 25, 2020",24989.0
"Apr 26, 2020",25636.0
"Apr 27, 2020",26269.0
"Apr 28, 2020",26864.0
"Apr 29, 2020",27423.0
"Apr 30, 2020",27996.0
"May 01, 2020",28547.0
"May 02, 2020",29115.0
"May 03, 2020",29609.0
"May 04, 2020",30059.0
"May 05, 2020",30543.0
"May 06, 2020",31008.0
"May 07, 2020",31468.0
"May 08, 2020",31929.0
"May 09, 2020",32313.0
"May 10, 2020",32692.0
"May 11, 2020",33040.0
"May 12, 2020",33349.0
"May 13, 2020",33670.0
"May 14, 2020",33987.0
"May 15, 2020",34321.0
"May 16, 2020",34635.0
"May 17, 2020",34949.0
"May 18, 2020",35216.0
"May 19, 2020",35509.0
"May 20, 2020",35784.0
"May 21, 2020",36053.0
"May 22, 2020",36291.0
"May 23, 2020",36514.0
"May 24, 2020",36734.0
"May 25, 2020",36931.0
"May 26, 2020",37131.0
"May 27, 2020",37345.0
"May 28, 2020",37543.0
"May 29, 2020",37760.0
"May 30, 2020",37946.0
"May 31, 2020",38109.0
"Jun 01, 2020",38236.0
"Jun 02, 2020",38370.0
"Jun 03, 2020",38538.0
"Jun 04, 2020",38693.0
"Jun 05, 2020",38827.0
"Jun 06, 2020",38950.0
"Jun 07, 2020",39061.0
"Jun 08, 2020",39189.0
"Jun 09, 2020",39314.0
"Jun 10, 2020",39404.0
"Jun 11, 2020",39513.0
"Jun 12, 2020",39594.0
"Jun 13, 2020",39674.0
"Jun 14, 2020",39737.0
"Jun 15, 2020",39823.0
"Jun 16, 2020",39895.0
"Jun 17, 2020",39979.0
"Jun 18, 2020",40038.0
"Jun 19, 2020",40099.0
"Jun 20, 2020",40151.0
"Jun 21, 2020",40211.0
"Jun 22, 2020",40265.0
"Jun 23, 2020",40329.0
"Jun 24, 2020",40394.0
"Jun 25, 2020",40468.0
"Jun 26, 2020",40536.0
"Jun 27, 2020",40578.0
"Jun 28, 2020",40628.0
"Jun 29, 2020",40673.0
"Jun 30, 2020",40712.0
"Jul 01, 2020",40759.0
"Jul 02, 2020",40785.0
"Jul 03, 2020",40828.0
"Jul 04, 2020",40857.0
"Jul 05, 2020",40890.0
"Jul 06, 2020",40917.0
"Jul 07, 2020",40953.0
"Jul 08, 2020",40980.0
"Jul 09, 2020",41004.0
"Jul 10, 2020",41041.0
"Jul 11, 2020",41063.0
"Jul 12, 2020",41084.0
"Jul 13, 2020",41098.0
"Jul 14, 2020",41123.0
"Jul 15, 2020",41144.0
