date,count
"Feb 15, 2020",0.0
"Feb 16, 2020",0.0
"Feb 17, 2020",0.0
"Feb 18, 2020",0.0
"Feb 19, 2020",1.0
"Feb 20, 2020",0.0
"Feb 21, 2020",0.0
"Feb 22, 2020",1.0
"Feb 23, 2020",0.0
"Feb 24, 2020",1.0
"Feb 25, 2020",1.0
"Feb 26, 2020",0.0
"Feb 27, 2020",2.0
"Feb 28, 2020",1.0
"Feb 29, 2020",1.0
"Mar 01, 2020",1.0
"Mar 02, 2020",1.0
"Mar 03, 2020",2.0
"Mar 04, 2020",2.0
"Mar 05, 2020",2.0
"Mar 06, 2020",3.0
"Mar 07, 2020",4.0
"Mar 08, 2020",3.0
"Mar 09, 2020",6.0
"Mar 10, 2020",6.0
"Mar 11, 2020",7.0
"Mar 12, 2020",8.0
"Mar 13, 2020",6.0
"Mar 14, 2020",5.0
"Mar 15, 2020",8.0
"Mar 16, 2020",6.0
"Mar 17, 2020",5.0
"Mar 18, 2020",6.0
"Mar 19, 2020",8.0
"Mar 20, 2020",7.0
"Mar 21, 2020",10.0
"Mar 22, 2020",8.0
"Mar 23, 2020",14.0
"Mar 24, 2020",20.0
"Mar 25, 2020",31.0
"Mar 26, 2020",28.0
"Mar 27, 2020",37.0
"Mar 28, 2020",45.0
"Mar 29, 2020",60.0
"Mar 30, 2020",59.0
"Mar 31, 2020",59.0
"Apr 01, 2020",69.0
"Apr 02, 2020",99.0
"Apr 03, 2020",123.0
"Apr 04, 2020",148.0
"Apr 05, 2020",175.0
"Apr 06, 2020",210.0
"Apr 07, 2020",242.0
"Apr 08, 2020",263.0
"Apr 09, 2020",281.0
"Apr 10, 2020",300.0
"Apr 11, 2020",318.0
"Apr 12, 2020",332.0
"Apr 13, 2020",350.0
"Apr 14, 2020",367.0
"Apr 15, 2020",387.0
"Apr 16, 2020",405.0
"Apr 17, 2020",420.0
"Apr 18, 2020",367.0
"Apr 19, 2020",379.0
"Apr 20, 2020",392.0
"Apr 21, 2020",404.0
"Apr 22, 2020",410.0
"Apr 23, 2020",419.0
"Apr 24, 2020",425.0
"Apr 25, 2020",502.0
"Apr 26, 2020",510.0
"Apr 27, 2020",510.0
"Apr 28, 2020",518.0
"Apr 29, 2020",527.0
"Apr 30, 2020",532.0
"May 01, 2020",537.0
"May 02, 2020",541.0
"May 03, 2020",545.0
"May 04, 2020",556.0
"May 05, 2020",544.0
"May 06, 2020",544.0
"May 07, 2020",537.0
"May 08, 2020",537.0
"May 09, 2020",545.0
"May 10, 2020",577.0
"May 11, 2020",592.0
"May 12, 2020",639.0
"May 13, 2020",664.0
"May 14, 2020",692.0
"May 15, 2020",719.0
"May 16, 2020",745.0
"May 17, 2020",737.0
"May 18, 2020",759.0
"May 19, 2020",771.0
"May 20, 2020",803.0
"May 21, 2020",831.0
"May 22, 2020",865.0
"May 23, 2020",869.0
"May 24, 2020",875.0
"May 25, 2020",874.0
"May 26, 2020",860.0
"May 27, 2020",852.0
"May 28, 2020",805.0
"May 29, 2020",754.0
"May 30, 2020",742.0
"May 31, 2020",724.0
"Jun 01, 2020",698.0
"Jun 02, 2020",672.0
"Jun 03, 2020",627.0
"Jun 04, 2020",641.0
"Jun 05, 2020",639.0
"Jun 06, 2020",624.0
"Jun 07, 2020",608.0
"Jun 08, 2020",597.0
"Jun 09, 2020",588.0
"Jun 10, 2020",593.0
"Jun 11, 2020",567.0
"Jun 12, 2020",551.0
"Jun 13, 2020",532.0
"Jun 14, 2020",498.0
"Jun 15, 2020",465.0
"Jun 16, 2020",440.0
"Jun 17, 2020",408.0
"Jun 18, 2020",395.0
"Jun 19, 2020",378.0
"Jun 20, 2020",364.0
"Jun 21, 2020",375.0
"Jun 22, 2020",381.0
"Jun 23, 2020",386.0
"Jun 24, 2020",396.0
"Jun 25, 2020",401.0
"Jun 26, 2020",404.0
"Jun 27, 2020",404.0
"Jun 28, 2020",411.0
"Jun 29, 2020",420.0
"Jun 30, 2020",426.0
"Jul 01, 2020",420.0
"Jul 02, 2020",415.0
"Jul 03, 2020",452.0
"Jul 04, 2020",500.0
"Jul 05, 2020",535.0
"Jul 06, 2020",546.0
"Jul 07, 2020",562.0
"Jul 08, 2020",568.0
"Jul 09, 2020",586.0
"Jul 10, 2020",559.0
"Jul 11, 2020",514.0
"Jul 12, 2020",473.0
"Jul 13, 2020",447.0
"Jul 14, 2020",425.0
"Jul 15, 2020",400.0
"Jul 16, 2020",365.0
"Jul 17, 2020",339.0
"Jul 18, 2020",322.0
"Jul 19, 2020",296.0
"Jul 20, 2020",285.0
"Jul 21, 2020",275.0
"Jul 22, 2020",269.0
"Jul 23, 2020",266.0
